 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       24.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                           96000
 Maximum Temperature :                             1804.6288 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              552.3807 K - Change from last time step:      -0.0036 K
 Average(algebraic, non-weigthed) Temperature :    1748.6688 K - Change from last time step:      -0.0005 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1804.6288           720.0000         188.7422           1.0000
     1    2    0.0000    0.0050   1804.6207           720.0000         188.7417           1.0000
     1    3    0.0000    0.0100   1804.5800           720.0000         188.7394           1.0000
     1    4    0.0000    0.0150   1804.5054           720.0000         188.7351           1.0000
     1    5    0.0000    0.0200   1804.3943           720.0000         188.7287           1.0000
     1    6    0.0000    0.0250   1804.2433           720.0000         188.7200           1.0000
     1    7    0.0000    0.0300   1804.0483           720.0000         188.7088           1.0000
     1    8    0.0000    0.0350   1803.8045           720.0000         188.6948           1.0000
     1    9    0.0000    0.0400   1803.5075           720.0000         188.6777           1.0000
     1   10    0.0000    0.0450   1803.1528           720.0000         188.6573           1.0000
     1   11    0.0000    0.0500   1802.7370           720.0000         188.6334           1.0000
     1   12    0.0000    0.0550   1802.2578           720.0000         188.6058           1.0000
     1   13    0.0000    0.0600   1801.7140           720.0000         188.5746           1.0000
     1   14    0.0000    0.0650   1801.1048           720.0000         188.5395           1.0000
     1   15    0.0000    0.0700   1800.4283           720.0000         188.5006           1.0000
     1   16    0.0000    0.0750   1799.6723         10301.6542         185.0557           0.9887
     1   17    0.0000    0.0800   1797.5233         10301.6542         164.0197           0.9158
     1   18    0.0000    0.0850   1787.6833         10301.6542          88.4380           0.5820
     1   19    0.0000    0.0900   1693.2071           703.0000          36.4671           0.0000
     1   20    0.0000    0.0950   1524.5094           703.0000          34.5271           0.0000
     1   21    0.0000    0.1000   1302.1298           703.0000          31.9697           0.0000
     2    1    0.0050    0.0000   1804.6287           720.0000         188.7422           1.0000
     2    2    0.0050    0.0050   1804.6207           720.0000         188.7417           1.0000
     2    3    0.0050    0.0100   1804.5800           720.0000         188.7394           1.0000
     2    4    0.0050    0.0150   1804.5054           720.0000         188.7351           1.0000
     2    5    0.0050    0.0200   1804.3943           720.0000         188.7287           1.0000
     2    6    0.0050    0.0250   1804.2433           720.0000         188.7200           1.0000
     2    7    0.0050    0.0300   1804.0483           720.0000         188.7088           1.0000
     2    8    0.0050    0.0350   1803.8045           720.0000         188.6948           1.0000
     2    9    0.0050    0.0400   1803.5074           720.0000         188.6777           1.0000
     2   10    0.0050    0.0450   1803.1527           720.0000         188.6573           1.0000
     2   11    0.0050    0.0500   1802.7370           720.0000         188.6334           1.0000
     2   12    0.0050    0.0550   1802.2578           720.0000         188.6058           1.0000
     2   13    0.0050    0.0600   1801.7140           720.0000         188.5746           1.0000
