 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       78.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          312000
 Maximum Temperature :                             1801.2213 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              854.6864 K - Change from last time step:       0.0012 K
 Average(algebraic, non-weigthed) Temperature :    1711.7861 K - Change from last time step:       0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1801.2213           720.0000         188.5462           1.0000
     1    2    0.0000    0.0050   1801.2128           720.0000         188.5457           1.0000
     1    3    0.0000    0.0100   1801.1705           720.0000         188.5433           1.0000
     1    4    0.0000    0.0150   1801.0947           720.0000         188.5389           1.0000
     1    5    0.0000    0.0200   1800.9863           720.0000         188.5327           1.0000
     1    6    0.0000    0.0250   1800.8462           720.0000         188.5247           1.0000
     1    7    0.0000    0.0300   1800.6756           720.0000         188.5148           1.0000
     1    8    0.0000    0.0350   1800.4759           720.0000         188.5034           1.0000
     1    9    0.0000    0.0400   1800.2500           720.0000         188.4904           1.0000
     1   10    0.0000    0.0450   1800.0051         10301.6542         188.4586           0.9999
     1   11    0.0000    0.0500   1799.7039         10301.6542         185.3772           0.9897
     1   12    0.0000    0.0550   1798.9825         10301.6542         178.1255           0.9653
     1   13    0.0000    0.0600   1797.4957         10301.6542         163.7609           0.9148
     1   14    0.0000    0.0650   1794.2715         10301.6542         135.2826           0.8055
     1   15    0.0000    0.0700   1784.3219         10301.6542          70.3824           0.4680
     1   16    0.0000    0.0750   1737.7924           703.0000          36.9798           0.0000
     1   17    0.0000    0.0800   1671.7969           703.0000          36.2209           0.0000
     1   18    0.0000    0.0850   1601.6668           703.0000          35.4144           0.0000
     1   19    0.0000    0.0900   1530.0019           703.0000          34.5902           0.0000
     1   20    0.0000    0.0950   1460.1351           703.0000          33.7868           0.0000
     1   21    0.0000    0.1000   1394.9216           703.0000          33.0368           0.0000
     2    1    0.0050    0.0000   1801.2213           720.0000         188.5462           1.0000
     2    2    0.0050    0.0050   1801.2128           720.0000         188.5457           1.0000
     2    3    0.0050    0.0100   1801.1705           720.0000         188.5433           1.0000
     2    4    0.0050    0.0150   1801.0947           720.0000         188.5389           1.0000
     2    5    0.0050    0.0200   1800.9863           720.0000         188.5327           1.0000
     2    6    0.0050    0.0250   1800.8462           720.0000         188.5247           1.0000
     2    7    0.0050    0.0300   1800.6756           720.0000         188.5148           1.0000
     2    8    0.0050    0.0350   1800.4759           720.0000         188.5034           1.0000
     2    9    0.0050    0.0400   1800.2500           720.0000         188.4904           1.0000
     2   10    0.0050    0.0450   1800.0051         10301.6542         188.4586           0.9999
     2   11    0.0050    0.0500   1799.7039         10301.6542         185.3772           0.9897
     2   12    0.0050    0.0550   1798.9824         10301.6542         178.1254           0.9653
     2   13    0.0050    0.0600   1797.4957         10301.6542         163.7607           0.9148
