 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      144.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          576000
 Maximum Temperature :                             1800.0004 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              978.9043 K - Change from last time step:       0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1695.1411 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0004         10301.6542         188.4109           0.9998
     1    2    0.0000    0.0050   1799.9984         10301.6542         188.3902           0.9997
     1    3    0.0000    0.0100   1799.9869         10301.6542         188.2715           0.9993
     1    4    0.0000    0.0150   1799.9580         10301.6542         187.9753           0.9983
     1    5    0.0000    0.0200   1799.8963         10301.6542         187.3416           0.9963
     1    6    0.0000    0.0250   1799.7752         10301.6542         186.1040           0.9921
     1    7    0.0000    0.0300   1799.5540         10301.6542         183.8548           0.9846
     1    8    0.0000    0.0350   1799.1704         10301.6542         179.9973           0.9716
     1    9    0.0000    0.0400   1798.5307         10301.6542         173.6786           0.9499
     1   10    0.0000    0.0450   1797.4869         10301.6542         163.6773           0.9145
     1   11    0.0000    0.0500   1795.7835         10301.6542         148.1820           0.8568
     1   12    0.0000    0.0550   1792.8883         10301.6542         124.1864           0.7586
     1   13    0.0000    0.0600   1786.9913         10301.6542          84.3985           0.5585
     1   14    0.0000    0.0650   1763.0034           703.0000          37.2697           0.0000
     1   15    0.0000    0.0700   1723.2461           703.0000          36.8125           0.0000
     1   16    0.0000    0.0750   1677.7951           703.0000          36.2898           0.0000
     1   17    0.0000    0.0800   1628.5385           703.0000          35.7234           0.0000
     1   18    0.0000    0.0850   1576.1800           703.0000          35.1213           0.0000
     1   19    0.0000    0.0900   1520.8422           703.0000          34.4849           0.0000
     1   20    0.0000    0.0950   1462.5139           703.0000          33.8141           0.0000
     1   21    0.0000    0.1000   1401.1568           703.0000          33.1085           0.0000
     2    1    0.0050    0.0000   1800.0004         10301.6542         188.4109           0.9998
     2    2    0.0050    0.0050   1799.9984         10301.6542         188.3902           0.9997
     2    3    0.0050    0.0100   1799.9869         10301.6542         188.2715           0.9993
     2    4    0.0050    0.0150   1799.9580         10301.6542         187.9753           0.9983
     2    5    0.0050    0.0200   1799.8963         10301.6542         187.3416           0.9963
     2    6    0.0050    0.0250   1799.7752         10301.6542         186.1040           0.9921
     2    7    0.0050    0.0300   1799.5540         10301.6542         183.8547           0.9846
     2    8    0.0050    0.0350   1799.1704         10301.6542         179.9972           0.9716
     2    9    0.0050    0.0400   1798.5307         10301.6542         173.6785           0.9499
     2   10    0.0050    0.0450   1797.4868         10301.6542         163.6772           0.9145
     2   11    0.0050    0.0500   1795.7835         10301.6542         148.1819           0.8568
     2   12    0.0050    0.0550   1792.8883         10301.6542         124.1863           0.7586
