 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      172.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          688000
 Maximum Temperature :                             1799.9473 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              984.2887 K - Change from last time step:       0.0042 K
 Average(algebraic, non-weigthed) Temperature :    1684.6244 K - Change from last time step:       0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.9473         10301.6542         187.8648           0.9980
     1    2    0.0000    0.0050   1799.9399         10301.6542         187.7889           0.9977
     1    3    0.0000    0.0100   1799.9008         10301.6542         187.3878           0.9964
     1    4    0.0000    0.0150   1799.8189         10301.6542         186.5499           0.9936
     1    5    0.0000    0.0200   1799.6732         10301.6542         185.0645           0.9887
     1    6    0.0000    0.0250   1799.4301         10301.6542         182.6029           0.9804
     1    7    0.0000    0.0300   1799.0390         10301.6542         178.6877           0.9672
     1    8    0.0000    0.0350   1798.4241         10301.6542         172.6393           0.9463
     1    9    0.0000    0.0400   1797.4653         10301.6542         163.4753           0.9138
     1   10    0.0000    0.0450   1795.9560         10301.6542         149.7048           0.8626
     1   11    0.0000    0.0500   1793.4819         10301.6542         128.8659           0.7787
     1   12    0.0000    0.0550   1788.9451         10301.6542          96.2332           0.6248
     1   13    0.0000    0.0600   1776.1807         10301.6542          42.9324           0.1919
     1   14    0.0000    0.0650   1740.1899           703.0000          37.0074           0.0000
     1   15    0.0000    0.0700   1698.9859           703.0000          36.5335           0.0000
     1   16    0.0000    0.0750   1654.8502           703.0000          36.0260           0.0000
     1   17    0.0000    0.0800   1607.6596           703.0000          35.4833           0.0000
     1   18    0.0000    0.0850   1557.3198           703.0000          34.9044           0.0000
     1   19    0.0000    0.0900   1503.7700           703.0000          34.2886           0.0000
     1   20    0.0000    0.0950   1447.2534           703.0000          33.6386           0.0000
     1   21    0.0000    0.1000   1393.2566           703.0000          33.0177           0.0000
     2    1    0.0050    0.0000   1799.9473         10301.6542         187.8648           0.9980
     2    2    0.0050    0.0050   1799.9399         10301.6542         187.7889           0.9977
     2    3    0.0050    0.0100   1799.9008         10301.6542         187.3878           0.9964
     2    4    0.0050    0.0150   1799.8189         10301.6542         186.5499           0.9936
     2    5    0.0050    0.0200   1799.6732         10301.6542         185.0645           0.9887
     2    6    0.0050    0.0250   1799.4301         10301.6542         182.6029           0.9804
     2    7    0.0050    0.0300   1799.0390         10301.6542         178.6876           0.9672
     2    8    0.0050    0.0350   1798.4241         10301.6542         172.6392           0.9463
     2    9    0.0050    0.0400   1797.4653         10301.6542         163.4752           0.9138
     2   10    0.0050    0.0450   1795.9560         10301.6542         149.7047           0.8626
     2   11    0.0050    0.0500   1793.4819         10301.6542         128.8658           0.7787
     2   12    0.0050    0.0550   1788.9450         10301.6542          96.2331           0.6248
     2   13    0.0050    0.0600   1776.1807         10301.6542          42.9322           0.1919
     2   14    0.0050    0.0650   1740.1898           703.0000          37.0074           0.0000
     2   15    0.0050    0.0700   1698.9857           703.0000          36.5335           0.0000
     2   16    0.0050    0.0750   1654.8500           703.0000          36.0260           0.0000
     2   17    0.0050    0.0800   1607.6595           703.0000          35.4833           0.0000
     2   18    0.0050    0.0850   1557.3197           703.0000          34.9044           0.0000
     2   19    0.0050    0.0900   1503.7699           703.0000          34.2886           0.0000
     2   20    0.0050    0.0950   1447.2534           703.0000          33.6386           0.0000
     2   21    0.0050    0.1000   1393.2574           703.0000          33.0177           0.0000
     3    1    0.0100    0.0000   1799.9473         10301.6542         187.8648           0.9980
     3    2    0.0100    0.0050   1799.9399         10301.6542         187.7889           0.9977
     3    3    0.0100    0.0100   1799.9008         10301.6542         187.3878           0.9964
     3    4    0.0100    0.0150   1799.8189         10301.6542         186.5499           0.9936
     3    5    0.0100    0.0200   1799.6732         10301.6542         185.0645           0.9887
     3    6    0.0100    0.0250   1799.4301         10301.6542         182.6029           0.9804
     3    7    0.0100    0.0300   1799.0390         10301.6542         178.6876           0.9672
     3    8    0.0100    0.0350   1798.4241         10301.6542         172.6392           0.9463
     3    9    0.0100    0.0400   1797.4653         10301.6542         163.4751           0.9138
     3   10    0.0100    0.0450   1795.9560         10301.6542         149.7046           0.8626
     3   11    0.0100    0.0500   1793.4819         10301.6542         128.8656           0.7787
     3   12    0.0100    0.0550   1788.9450         10301.6542          96.2329           0.6248
     3   13    0.0100    0.0600   1776.1806         10301.6542          42.9321           0.1919
     3   14    0.0100    0.0650   1740.1897           703.0000          37.0074           0.0000
     3   15    0.0100    0.0700   1698.9856           703.0000          36.5335           0.0000
     3   16    0.0100    0.0750   1654.8499           703.0000          36.0260           0.0000
     3   17    0.0100    0.0800   1607.6594           703.0000          35.4833           0.0000
     3   18    0.0100    0.0850   1557.3196           703.0000          34.9044           0.0000
     3   19    0.0100    0.0900   1503.7698           703.0000          34.2886           0.0000
     3   20    0.0100    0.0950   1447.2533           703.0000          33.6386           0.0000
     3   21    0.0100    0.1000   1393.2574           703.0000          33.0177           0.0000
     4    1    0.0150    0.0000   1799.9473         10301.6542         187.8648           0.9980
     4    2    0.0150    0.0050   1799.9399         10301.6542         187.7889           0.9977
     4    3    0.0150    0.0100   1799.9008         10301.6542         187.3878           0.9964
     4    4    0.0150    0.0150   1799.8189         10301.6542         186.5499           0.9936
     4    5    0.0150    0.0200   1799.6732         10301.6542         185.0645           0.9887
     4    6    0.0150    0.0250   1799.4301         10301.6542         182.6028           0.9804
     4    7    0.0150    0.0300   1799.0390         10301.6542         178.6876           0.9672
     4    8    0.0150    0.0350   1798.4241         10301.6542         172.6392           0.9463
     4    9    0.0150    0.0400   1797.4653         10301.6542         163.4751           0.9138
     4   10    0.0150    0.0450   1795.9560         10301.6542         149.7045           0.8626
     4   11    0.0150    0.0500   1793.4818         10301.6542         128.8655           0.7787
     4   12    0.0150    0.0550   1788.9450         10301.6542          96.2328           0.6248
     4   13    0.0150    0.0600   1776.1806         10301.6542          42.9320           0.1919
     4   14    0.0150    0.0650   1740.1896           703.0000          37.0074           0.0000
     4   15    0.0150    0.0700   1698.9855           703.0000          36.5335           0.0000
     4   16    0.0150    0.0750   1654.8498           703.0000          36.0260           0.0000
     4   17    0.0150    0.0800   1607.6592           703.0000          35.4833           0.0000
     4   18    0.0150    0.0850   1557.3194           703.0000          34.9044           0.0000
     4   19    0.0150    0.0900   1503.7697           703.0000          34.2886           0.0000
     4   20    0.0150    0.0950   1447.2532           703.0000          33.6386           0.0000
     4   21    0.0150    0.1000   1393.2573           703.0000          33.0177           0.0000
     5    1    0.0200    0.0000   1799.9473         10301.6542         187.8648           0.9980
     5    2    0.0200    0.0050   1799.9399         10301.6542         187.7889           0.9977
     5    3    0.0200    0.0100   1799.9008         10301.6542         187.3878           0.9964
     5    4    0.0200    0.0150   1799.8189         10301.6542         186.5499           0.9936
     5    5    0.0200    0.0200   1799.6732         10301.6542         185.0645           0.9887
     5    6    0.0200    0.0250   1799.4300         10301.6542         182.6028           0.9804
     5    7    0.0200    0.0300   1799.0390         10301.6542         178.6875           0.9672
     5    8    0.0200    0.0350   1798.4241         10301.6542         172.6391           0.9463
     5    9    0.0200    0.0400   1797.4653         10301.6542         163.4750           0.9138
     5   10    0.0200    0.0450   1795.9559         10301.6542         149.7044           0.8626
     5   11    0.0200    0.0500   1793.4818         10301.6542         128.8654           0.7787
     5   12    0.0200    0.0550   1788.9450         10301.6542          96.2326           0.6248
     5   13    0.0200    0.0600   1776.1805         10301.6542          42.9319           0.1919
     5   14    0.0200    0.0650   1740.1895           703.0000          37.0074           0.0000
     5   15    0.0200    0.0700   1698.9854           703.0000          36.5335           0.0000
     5   16    0.0200    0.0750   1654.8497           703.0000          36.0260           0.0000
     5   17    0.0200    0.0800   1607.6591           703.0000          35.4833           0.0000
     5   18    0.0200    0.0850   1557.3194           703.0000          34.9044           0.0000
     5   19    0.0200    0.0900   1503.7696           703.0000          34.2886           0.0000
     5   20    0.0200    0.0950   1447.2531           703.0000          33.6386           0.0000
     5   21    0.0200    0.1000   1393.2572           703.0000          33.0177           0.0000
     6    1    0.0250    0.0000   1799.9473         10301.6542         187.8647           0.9980
     6    2    0.0250    0.0050   1799.9399         10301.6542         187.7889           0.9977
     6    3    0.0250    0.0100   1799.9008         10301.6542         187.3878           0.9964
     6    4    0.0250    0.0150   1799.8189         10301.6542         186.5499           0.9936
     6    5    0.0250    0.0200   1799.6732         10301.6542         185.0644           0.9887
     6    6    0.0250    0.0250   1799.4300         10301.6542         182.6028           0.9804
     6    7    0.0250    0.0300   1799.0390         10301.6542         178.6875           0.9672
     6    8    0.0250    0.0350   1798.4241         10301.6542         172.6391           0.9463
     6    9    0.0250    0.0400   1797.4653         10301.6542         163.4750           0.9138
     6   10    0.0250    0.0450   1795.9559         10301.6542         149.7044           0.8626
     6   11    0.0250    0.0500   1793.4818         10301.6542         128.8654           0.7787
     6   12    0.0250    0.0550   1788.9450         10301.6542          96.2325           0.6248
     6   13    0.0250    0.0600   1776.1805         10301.6542          42.9318           0.1919
     6   14    0.0250    0.0650   1740.1894           703.0000          37.0074           0.0000
     6   15    0.0250    0.0700   1698.9853           703.0000          36.5335           0.0000
     6   16    0.0250    0.0750   1654.8496           703.0000          36.0260           0.0000
     6   17    0.0250    0.0800   1607.6591           703.0000          35.4833           0.0000
     6   18    0.0250    0.0850   1557.3193           703.0000          34.9044           0.0000
     6   19    0.0250    0.0900   1503.7695           703.0000          34.2885           0.0000
     6   20    0.0250    0.0950   1447.2530           703.0000          33.6386           0.0000
     6   21    0.0250    0.1000   1393.2571           703.0000          33.0177           0.0000
     7    1    0.0300    0.0000   1799.9473         10301.6542         187.8647           0.9980
     7    2    0.0300    0.0050   1799.9399         10301.6542         187.7889           0.9977
     7    3    0.0300    0.0100   1799.9008         10301.6542         187.3878           0.9964
     7    4    0.0300    0.0150   1799.8189         10301.6542         186.5499           0.9936
     7    5    0.0300    0.0200   1799.6732         10301.6542         185.0644           0.9887
     7    6    0.0300    0.0250   1799.4300         10301.6542         182.6028           0.9804
     7    7    0.0300    0.0300   1799.0390         10301.6542         178.6875           0.9672
