 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      182.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          728000
 Maximum Temperature :                             1799.9118 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1062.1808 K - Change from last time step:       0.0011 K
 Average(algebraic, non-weigthed) Temperature :    1686.8615 K - Change from last time step:       0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.9118         10301.6542         187.5011           0.9968
     1    2    0.0000    0.0050   1799.9022         10301.6542         187.4020           0.9965
     1    3    0.0000    0.0100   1799.8515         10301.6542         186.8833           0.9947
     1    4    0.0000    0.0150   1799.7480         10301.6542         185.8266           0.9912
     1    5    0.0000    0.0200   1799.5692         10301.6542         184.0091           0.9852
     1    6    0.0000    0.0250   1799.2791         10301.6542         181.0854           0.9753
     1    7    0.0000    0.0300   1798.8239         10301.6542         176.5559           0.9599
     1    8    0.0000    0.0350   1798.1214         10301.6542         169.7109           0.9361
     1    9    0.0000    0.0400   1797.0417         10301.6542         159.5288           0.8994
     1   10    0.0000    0.0450   1795.3584         10301.6542         144.4747           0.8423
     1   11    0.0000    0.0500   1792.6097         10301.6542         122.0324           0.7491
     1   12    0.0000    0.0550   1787.4854         10301.6542          87.2655           0.5753
     1   13    0.0000    0.0600   1772.4963         10301.6542          38.0484           0.0669
     1   14    0.0000    0.0650   1733.8867           703.0000          36.9349           0.0000
     1   15    0.0000    0.0700   1692.6458           703.0000          36.4606           0.0000
     1   16    0.0000    0.0750   1649.1390           703.0000          35.9603           0.0000
     1   17    0.0000    0.0800   1603.8272           703.0000          35.4392           0.0000
     1   18    0.0000    0.0850   1557.8340           703.0000          34.9103           0.0000
     1   19    0.0000    0.0900   1513.1097           703.0000          34.3960           0.0000
     1   20    0.0000    0.0950   1472.2128           703.0000          33.9256           0.0000
     1   21    0.0000    0.1000   1437.4335           703.0000          33.5257           0.0000
     2    1    0.0050    0.0000   1799.9118         10301.6542         187.5011           0.9968
     2    2    0.0050    0.0050   1799.9022         10301.6542         187.4020           0.9965
     2    3    0.0050    0.0100   1799.8515         10301.6542         186.8833           0.9947
     2    4    0.0050    0.0150   1799.7480         10301.6542         185.8266           0.9912
     2    5    0.0050    0.0200   1799.5692         10301.6542         184.0090           0.9852
     2    6    0.0050    0.0250   1799.2791         10301.6542         181.0854           0.9753
     2    7    0.0050    0.0300   1798.8239         10301.6542         176.5559           0.9599
     2    8    0.0050    0.0350   1798.1214         10301.6542         169.7108           0.9361
     2    9    0.0050    0.0400   1797.0416         10301.6542         159.5287           0.8994
     2   10    0.0050    0.0450   1795.3584         10301.6542         144.4746           0.8423
     2   11    0.0050    0.0500   1792.6097         10301.6542         122.0323           0.7491
     2   12    0.0050    0.0550   1787.4854         10301.6542          87.2653           0.5753
