 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      208.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          832000
 Maximum Temperature :                             1799.7738 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1134.2971 K - Change from last time step:       0.0004 K
 Average(algebraic, non-weigthed) Temperature :    1687.6711 K - Change from last time step:      -0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.7738         10301.6542         186.0898           0.9921
     1    2    0.0000    0.0050   1799.7578         10301.6542         185.9261           0.9916
     1    3    0.0000    0.0100   1799.6749         10301.6542         185.0820           0.9887
     1    4    0.0000    0.0150   1799.5117         10301.6542         183.4269           0.9832
     1    5    0.0000    0.0200   1799.2424         10301.6542         180.7173           0.9741
     1    6    0.0000    0.0250   1798.8261         10301.6542         176.5784           0.9600
     1    7    0.0000    0.0300   1798.2001         10301.6542         170.4689           0.9387
     1    8    0.0000    0.0350   1797.2656         10301.6542         161.6070           0.9070
     1    9    0.0000    0.0400   1795.8540         10301.6542         148.8031           0.8591
     1   10    0.0000    0.0450   1793.6294         10301.6542         130.0479           0.7837
     1   11    0.0000    0.0500   1789.7334         10301.6542         101.3859           0.6516
     1   12    0.0000    0.0550   1780.1753         10301.6542          53.5284           0.3274
     1   13    0.0000    0.0600   1752.5988           703.0000          37.1501           0.0000
     1   14    0.0000    0.0650   1718.3819           703.0000          36.7566           0.0000
     1   15    0.0000    0.0700   1682.6225           703.0000          36.3454           0.0000
     1   16    0.0000    0.0750   1645.7266           703.0000          35.9211           0.0000
     1   17    0.0000    0.0800   1608.2301           703.0000          35.4898           0.0000
     1   18    0.0000    0.0850   1570.7567           703.0000          35.0589           0.0000
     1   19    0.0000    0.0900   1533.9360           703.0000          34.6355           0.0000
     1   20    0.0000    0.0950   1498.3000           703.0000          34.2256           0.0000
     1   21    0.0000    0.1000   1464.1805           703.0000          33.8333           0.0000
     2    1    0.0050    0.0000   1799.7738         10301.6542         186.0897           0.9921
     2    2    0.0050    0.0050   1799.7578         10301.6542         185.9261           0.9916
     2    3    0.0050    0.0100   1799.6749         10301.6542         185.0820           0.9887
     2    4    0.0050    0.0150   1799.5117         10301.6542         183.4269           0.9832
     2    5    0.0050    0.0200   1799.2424         10301.6542         180.7173           0.9741
     2    6    0.0050    0.0250   1798.8261         10301.6542         176.5783           0.9600
     2    7    0.0050    0.0300   1798.2001         10301.6542         170.4688           0.9387
     2    8    0.0050    0.0350   1797.2656         10301.6542         161.6070           0.9070
     2    9    0.0050    0.0400   1795.8540         10301.6542         148.8030           0.8591
     2   10    0.0050    0.0450   1793.6294         10301.6542         130.0478           0.7837
     2   11    0.0050    0.0500   1789.7333         10301.6542         101.3857           0.6515
     2   12    0.0050    0.0550   1780.1753         10301.6542          53.5282           0.3274
