 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      272.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                         1088000
 Maximum Temperature :                             1799.1431 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1186.4606 K - Change from last time step:       0.0001 K
 Average(algebraic, non-weigthed) Temperature :    1682.1320 K - Change from last time step:      -0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1799.1431         10301.6542         179.7240           0.9707
     1    2    0.0000    0.0050   1799.1105         10301.6542         179.3988           0.9696
     1    3    0.0000    0.0100   1798.9440         10301.6542         177.7441           0.9640
     1    4    0.0000    0.0150   1798.6267         10301.6542         174.6169           0.9532
     1    5    0.0000    0.0200   1798.1252         10301.6542         169.7474           0.9362
     1    6    0.0000    0.0250   1797.3839         10301.6542         162.7118           0.9110
     1    7    0.0000    0.0300   1796.3111         10301.6542         152.8725           0.8747
     1    8    0.0000    0.0350   1794.7461         10301.6542         139.2457           0.8216
     1    9    0.0000    0.0400   1792.3688         10301.6542         120.1920           0.7409
     1   10    0.0000    0.0450   1788.3725         10301.6542          92.6271           0.6054
     1   11    0.0000    0.0500   1779.3155         10301.6542          50.7808           0.2982
     1   12    0.0000    0.0550   1756.6199           703.0000          37.1963           0.0000
     1   13    0.0000    0.0600   1729.2576           703.0000          36.8817           0.0000
     1   14    0.0000    0.0650   1700.6793           703.0000          36.5530           0.0000
     1   15    0.0000    0.0700   1670.9660           703.0000          36.2113           0.0000
     1   16    0.0000    0.0750   1640.2283           703.0000          35.8578           0.0000
     1   17    0.0000    0.0800   1608.5977           703.0000          35.4941           0.0000
     1   18    0.0000    0.0850   1576.2133           703.0000          35.1217           0.0000
     1   19    0.0000    0.0900   1543.2039           703.0000          34.7420           0.0000
     1   20    0.0000    0.0950   1509.6717           703.0000          34.3564           0.0000
     1   21    0.0000    0.1000   1475.6791           703.0000          33.9655           0.0000
     2    1    0.0050    0.0000   1799.1431         10301.6542         179.7239           0.9707
     2    2    0.0050    0.0050   1799.1105         10301.6542         179.3987           0.9696
     2    3    0.0050    0.0100   1798.9440         10301.6542         177.7441           0.9640
     2    4    0.0050    0.0150   1798.6267         10301.6542         174.6169           0.9532
     2    5    0.0050    0.0200   1798.1252         10301.6542         169.7473           0.9362
     2    6    0.0050    0.0250   1797.3839         10301.6542         162.7117           0.9110
     2    7    0.0050    0.0300   1796.3111         10301.6542         152.8724           0.8747
     2    8    0.0050    0.0350   1794.7461         10301.6542         139.2456           0.8216
     2    9    0.0050    0.0400   1792.3688         10301.6542         120.1920           0.7409
     2   10    0.0050    0.0450   1788.3725         10301.6542          92.6270           0.6054
     2   11    0.0050    0.0500   1779.3154         10301.6542          50.7806           0.2982
     2   12    0.0050    0.0550   1756.6199           703.0000          37.1963           0.0000
     2   13    0.0050    0.0600   1729.2575           703.0000          36.8817           0.0000
     2   14    0.0050    0.0650   1700.6792           703.0000          36.5530           0.0000
     2   15    0.0050    0.0700   1670.9660           703.0000          36.2113           0.0000
     2   16    0.0050    0.0750   1640.2282           703.0000          35.8578           0.0000
