 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      912.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                         3648000
 Maximum Temperature :                             1767.2751 K - Change from last time step:      -0.0012 K
 Minimum Temperature :                             1105.8788 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1541.4952 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1767.2751           703.0000          37.3189           0.0000
     1    2    0.0000    0.0050   1763.2786           703.0000          37.2729           0.0000
     1    3    0.0000    0.0100   1754.4139           703.0000          37.1710           0.0000
     1    4    0.0000    0.0150   1743.0542           703.0000          37.0403           0.0000
     1    5    0.0000    0.0200   1729.8788           703.0000          36.8888           0.0000
     1    6    0.0000    0.0250   1715.3538           703.0000          36.7218           0.0000
     1    7    0.0000    0.0300   1699.7367           703.0000          36.5422           0.0000
     1    8    0.0000    0.0350   1683.1349           703.0000          36.3513           0.0000
     1    9    0.0000    0.0400   1665.5893           703.0000          36.1495           0.0000
     1   10    0.0000    0.0450   1647.1215           703.0000          35.9371           0.0000
     1   11    0.0000    0.0500   1627.7502           703.0000          35.7143           0.0000
     1   12    0.0000    0.0550   1607.4943           703.0000          35.4814           0.0000
     1   13    0.0000    0.0600   1586.3722           703.0000          35.2385           0.0000
     1   14    0.0000    0.0650   1564.4005           703.0000          34.9858           0.0000
     1   15    0.0000    0.0700   1541.5939           703.0000          34.7235           0.0000
     1   16    0.0000    0.0750   1517.9653           703.0000          34.4518           0.0000
     1   17    0.0000    0.0800   1493.5260           703.0000          34.1707           0.0000
     1   18    0.0000    0.0850   1468.2863           703.0000          33.8805           0.0000
     1   19    0.0000    0.0900   1442.2560           703.0000          33.5811           0.0000
     1   20    0.0000    0.0950   1415.4448           703.0000          33.2728           0.0000
     1   21    0.0000    0.1000   1387.8622           703.0000          32.9556           0.0000
     2    1    0.0050    0.0000   1767.2741           703.0000          37.3189           0.0000
     2    2    0.0050    0.0050   1763.2784           703.0000          37.2729           0.0000
     2    3    0.0050    0.0100   1754.4137           703.0000          37.1710           0.0000
     2    4    0.0050    0.0150   1743.0541           703.0000          37.0403           0.0000
     2    5    0.0050    0.0200   1729.8787           703.0000          36.8888           0.0000
     2    6    0.0050    0.0250   1715.3537           703.0000          36.7218           0.0000
     2    7    0.0050    0.0300   1699.7366           703.0000          36.5422           0.0000
     2    8    0.0050    0.0350   1683.1348           703.0000          36.3513           0.0000
     2    9    0.0050    0.0400   1665.5893           703.0000          36.1495           0.0000
     2   10    0.0050    0.0450   1647.1215           703.0000          35.9371           0.0000
     2   11    0.0050    0.0500   1627.7502           703.0000          35.7143           0.0000
     2   12    0.0050    0.0550   1607.4943           703.0000          35.4814           0.0000
     2   13    0.0050    0.0600   1586.3721           703.0000          35.2385           0.0000
