 ========================================================================
 Mesh information:
 Nx = 101
 Ny =  21
  
 Slab / Billet dimensions:
 X(m) =       1.0000
 Y(m) =       0.2000
                                                                         
                                                                         
 ========================================================================
              Time(s)   Thickness in X(m)   Thickness in Y(m)
               0.0000              0.0000              0.0000
               2.0000              0.0000              0.0000
               4.0000              0.0003              0.0003
               6.0000              0.0005              0.0005
               8.0000              0.0012              0.0012
              10.0000              0.0053              0.0053
              12.0000              0.0053              0.0053
              14.0000              0.0055              0.0055
              16.0000              0.0057              0.0057
              18.0000              0.0068              0.0068
              20.0000              0.0103              0.0103
              22.0000              0.0103              0.0103
              24.0000              0.0104              0.0104
              26.0000              0.0106              0.0106
              28.0000              0.0108              0.0108
              30.0000              0.0116              0.0116
              32.0000              0.0153              0.0153
              34.0000              0.0153              0.0153
              36.0000              0.0154              0.0154
              38.0000              0.0155              0.0155
              40.0000              0.0156              0.0156
              42.0000              0.0158              0.0158
              44.0000              0.0162              0.0162
              46.0000              0.0177              0.0177
              48.0000              0.0203              0.0203
              50.0000              0.0204              0.0204
              52.0000              0.0204              0.0204
              54.0000              0.0205              0.0205
              56.0000              0.0206              0.0206
              58.0000              0.0207              0.0207
              60.0000              0.0209              0.0209
              60.6000              0.0209              0.0209
              62.0000              0.0212              0.0212
              64.0000              0.0218              0.0218
              66.0000              0.0238              0.0236
              68.0000              0.0254              0.0253
              70.0000              0.0254              0.0254
              72.0000              0.0254              0.0254
              74.0000              0.0254              0.0254
              76.0000              0.0255              0.0255
              78.0000              0.0255              0.0255
              80.0000              0.0256              0.0256
              82.0000              0.0257              0.0257
              84.0000              0.0258              0.0258
              86.0000              0.0259              0.0259
              88.0000              0.0261              0.0261
              90.0000              0.0264              0.0263
              92.0000              0.0267              0.0266
              94.0000              0.0274              0.0272
              96.0000              0.0290              0.0284
              98.0000              0.0302              0.0301
             100.0000              0.0304              0.0304
             102.0000              0.0304              0.0304
             104.0000              0.0304              0.0304
             106.0000              0.0305              0.0305
             108.0000              0.0305              0.0305
             110.0000              0.0305              0.0305
             112.0000              0.0306              0.0306
             114.0000              0.0306              0.0306
             116.0000              0.0307              0.0307
             118.0000              0.0308              0.0307
             120.0000              0.0308              0.0308
             122.0000              0.0309              0.0309
             124.0000              0.0311              0.0310
             126.0000              0.0313              0.0311
             128.0000              0.0315              0.0313
             130.0000              0.0318              0.0315
             132.0000              0.0324              0.0318
             134.0000              0.0334              0.0323
             136.0000              0.0351              0.0331
             138.0000              0.0353              0.0347
             140.0000              0.0354              0.0352
             142.0000              0.0355              0.0354
             144.0000              0.0355              0.0354
             146.0000              0.0355              0.0355
             148.0000              0.0355              0.0355
             150.0000              0.0356              0.0355
             152.0000              0.0356              0.0356
             154.0000              0.0357              0.0356
             156.0000              0.0357              0.0356
             158.0000              0.0358              0.0357
             160.0000              0.0359              0.0357
             162.0000              0.0360              0.0358
             164.0000              0.0361              0.0359
             166.0000              0.0363              0.0359
             168.0000              0.0365              0.0360
             170.0000              0.0369              0.0362
             171.6000              0.0373              0.0363
             172.0000              0.0374              0.0363
             174.0000              0.0383              0.0365
             176.0000              0.0400              0.0368
             178.0000              0.0403              0.0371
             180.0000              0.0405              0.0377
             182.0000              0.0405              0.0387
             184.0000              0.0405              0.0401
             186.0000              0.0405              0.0403
             188.0000              0.0406              0.0405
             190.0000              0.0406              0.0405
             192.0000              0.0407              0.0405
             194.0000              0.0407              0.0405
             196.0000              0.0408              0.0405
             198.0000              0.0408              0.0406
             200.0000              0.0409              0.0406
             202.0000              0.0410              0.0406
             204.0000              0.0412              0.0407
             206.0000              0.0413              0.0407
             208.0000              0.0415              0.0408
             210.0000              0.0418              0.0408
             212.0000              0.0422              0.0409
             214.0000              0.0429              0.0409
             216.0000              0.0440              0.0410
             218.0000              0.0451              0.0411
             220.0000              0.0454              0.0412
             222.0000              0.0455              0.0413
             224.0000              0.0455              0.0414
             226.0000              0.0455              0.0416
             228.0000              0.0456              0.0418
             230.0000              0.0456              0.0420
             232.0000              0.0456              0.0423
             234.0000              0.0457              0.0428
             236.0000              0.0457              0.0434
             238.0000              0.0458              0.0443
             240.0000              0.0459              0.0451
             242.0000              0.0459              0.0452
             244.0000              0.0460              0.0454
             246.0000              0.0461              0.0455
             248.0000              0.0463              0.0455
             250.0000              0.0465              0.0455
             252.0000              0.0467              0.0456
             254.0000              0.0470              0.0456
             256.0000              0.0474              0.0456
             258.0000              0.0481              0.0456
             260.0000              0.0495              0.0456
             262.0000              0.0502              0.0457
             264.0000              0.0505              0.0457
             266.0000              0.0505              0.0457
             268.0000              0.0505              0.0458
             270.0000              0.0506              0.0458
             272.0000              0.0506              0.0458
             274.0000              0.0507              0.0459
             276.0000              0.0507              0.0459
             278.0000              0.0507              0.0460
             280.0000              0.0508              0.0460
             282.0000              0.0509              0.0461
             284.0000              0.0509              0.0462
             286.0000              0.0510              0.0462
             288.0000              0.0511              0.0463
             290.0000              0.0513              0.0464
             292.0000              0.0515              0.0465
             294.0000              0.0517              0.0467
             296.0000              0.0520              0.0468
             298.0000              0.0524              0.0470
             300.0000              0.0531              0.0473
             302.0000              0.0544              0.0476
             304.0000              0.0552              0.0480
