 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       38.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          152000
 Maximum Temperature :                             1803.9776 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              414.9109 K - Change from last time step:      -0.0019 K
 Average(algebraic, non-weigthed) Temperature :    1722.6208 K - Change from last time step:      -0.0004 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1803.9776           720.0000         188.7047           1.0000
     1    2    0.0000    0.0050   1803.9680           720.0000         188.7042           1.0000
     1    3    0.0000    0.0100   1803.9201           720.0000         188.7014           1.0000
     1    4    0.0000    0.0150   1803.8336           720.0000         188.6964           1.0000
     1    5    0.0000    0.0200   1803.7082           720.0000         188.6892           1.0000
     1    6    0.0000    0.0250   1803.5434           720.0000         188.6797           1.0000
     1    7    0.0000    0.0300   1803.3388           720.0000         188.6680           1.0000
     1    8    0.0000    0.0350   1803.0940           720.0000         188.6539           1.0000
     1    9    0.0000    0.0400   1802.8090           720.0000         188.6375           1.0000
     1   10    0.0000    0.0450   1802.4840           720.0000         188.6188           1.0000
     1   11    0.0000    0.0500   1802.1193           720.0000         188.5979           1.0000
     1   12    0.0000    0.0550   1801.7157           720.0000         188.5747           1.0000
     1   13    0.0000    0.0600   1801.2736           720.0000         188.5492           1.0000
     1   14    0.0000    0.0650   1800.7929           720.0000         188.5216           1.0000
     1   15    0.0000    0.0700   1800.2721           720.0000         188.4916           1.0000
     1   16    0.0000    0.0750   1799.6865         38555.4743         175.3855           0.9557
     1   17    0.0000    0.0800   1792.7214         13263.1002          64.0263           0.4190
     1   18    0.0000    0.0850   1705.0114           703.0000          36.6028           0.0000
     1   19    0.0000    0.0900   1571.0709           703.0000          35.0625           0.0000
     1   20    0.0000    0.0950   1406.9917           703.0000          33.1756           0.0000
     1   21    0.0000    0.1000   1208.5024           703.7339          30.8930           0.0000
     2    1    0.0050    0.0000   1803.9775           720.0000         188.7047           1.0000
     2    2    0.0050    0.0050   1803.9680           720.0000         188.7042           1.0000
     2    3    0.0050    0.0100   1803.9201           720.0000         188.7014           1.0000
     2    4    0.0050    0.0150   1803.8336           720.0000         188.6964           1.0000
     2    5    0.0050    0.0200   1803.7082           720.0000         188.6892           1.0000
     2    6    0.0050    0.0250   1803.5434           720.0000         188.6797           1.0000
     2    7    0.0050    0.0300   1803.3388           720.0000         188.6680           1.0000
     2    8    0.0050    0.0350   1803.0940           720.0000         188.6539           1.0000
     2    9    0.0050    0.0400   1802.8090           720.0000         188.6375           1.0000
     2   10    0.0050    0.0450   1802.4839           720.0000         188.6188           1.0000
     2   11    0.0050    0.0500   1802.1193           720.0000         188.5979           1.0000
     2   12    0.0050    0.0550   1801.7157           720.0000         188.5747           1.0000
     2   13    0.0050    0.0600   1801.2736           720.0000         188.5492           1.0000
     2   14    0.0050    0.0650   1800.7928           720.0000         188.5216           1.0000
     2   15    0.0050    0.0700   1800.2720           720.0000         188.4916           1.0000
     2   16    0.0050    0.0750   1799.6865         38555.3634         175.3850           0.9557
     2   17    0.0050    0.0800   1792.7211         13262.6793          64.0248           0.4190
     2   18    0.0050    0.0850   1705.0103           703.0000          36.6028           0.0000
     2   19    0.0050    0.0900   1571.0697           703.0000          35.0625           0.0000
     2   20    0.0050    0.0950   1406.9905           703.0000          33.1756           0.0000
     2   21    0.0050    0.1000   1208.5013           703.7347          30.8930           0.0000
     3    1    0.0100    0.0000   1803.9775           720.0000         188.7047           1.0000
     3    2    0.0100    0.0050   1803.9680           720.0000         188.7042           1.0000
     3    3    0.0100    0.0100   1803.9201           720.0000         188.7014           1.0000
     3    4    0.0100    0.0150   1803.8336           720.0000         188.6964           1.0000
     3    5    0.0100    0.0200   1803.7082           720.0000         188.6892           1.0000
     3    6    0.0100    0.0250   1803.5434           720.0000         188.6797           1.0000
     3    7    0.0100    0.0300   1803.3388           720.0000         188.6680           1.0000
     3    8    0.0100    0.0350   1803.0940           720.0000         188.6539           1.0000
     3    9    0.0100    0.0400   1802.8090           720.0000         188.6375           1.0000
     3   10    0.0100    0.0450   1802.4839           720.0000         188.6188           1.0000
     3   11    0.0100    0.0500   1802.1193           720.0000         188.5979           1.0000
     3   12    0.0100    0.0550   1801.7157           720.0000         188.5747           1.0000
     3   13    0.0100    0.0600   1801.2736           720.0000         188.5492           1.0000
     3   14    0.0100    0.0650   1800.7928           720.0000         188.5216           1.0000
     3   15    0.0100    0.0700   1800.2720           720.0000         188.4916           1.0000
     3   16    0.0100    0.0750   1799.6865         38555.1990         175.3842           0.9557
     3   17    0.0100    0.0800   1792.7209         13262.2926          64.0234           0.4190
     3   18    0.0100    0.0850   1705.0093           703.0000          36.6028           0.0000
     3   19    0.0100    0.0900   1571.0685           703.0000          35.0625           0.0000
     3   20    0.0100    0.0950   1406.9892           703.0000          33.1756           0.0000
     3   21    0.0100    0.1000   1208.5000           703.7358          30.8930           0.0000
     4    1    0.0150    0.0000   1803.9775           720.0000         188.7047           1.0000
     4    2    0.0150    0.0050   1803.9680           720.0000         188.7042           1.0000
     4    3    0.0150    0.0100   1803.9200           720.0000         188.7014           1.0000
     4    4    0.0150    0.0150   1803.8336           720.0000         188.6964           1.0000
     4    5    0.0150    0.0200   1803.7082           720.0000         188.6892           1.0000
     4    6    0.0150    0.0250   1803.5434           720.0000         188.6797           1.0000
     4    7    0.0150    0.0300   1803.3388           720.0000         188.6680           1.0000
     4    8    0.0150    0.0350   1803.0940           720.0000         188.6539           1.0000
     4    9    0.0150    0.0400   1802.8090           720.0000         188.6375           1.0000
     4   10    0.0150    0.0450   1802.4839           720.0000         188.6188           1.0000
     4   11    0.0150    0.0500   1802.1193           720.0000         188.5979           1.0000
     4   12    0.0150    0.0550   1801.7157           720.0000         188.5747           1.0000
     4   13    0.0150    0.0600   1801.2736           720.0000         188.5492           1.0000
     4   14    0.0150    0.0650   1800.7928           720.0000         188.5216           1.0000
     4   15    0.0150    0.0700   1800.2720           720.0000         188.4916           1.0000
     4   16    0.0150    0.0750   1799.6865         38555.1649         175.3840           0.9557
     4   17    0.0150    0.0800   1792.7207         13262.0157          64.0224           0.4190
     4   18    0.0150    0.0850   1705.0085           703.0000          36.6028           0.0000
     4   19    0.0150    0.0900   1571.0675           703.0000          35.0625           0.0000
     4   20    0.0150    0.0950   1406.9881           703.0000          33.1756           0.0000
     4   21    0.0150    0.1000   1208.4987           703.7368          30.8929           0.0000
     5    1    0.0200    0.0000   1803.9775           720.0000         188.7047           1.0000
     5    2    0.0200    0.0050   1803.9679           720.0000         188.7042           1.0000
     5    3    0.0200    0.0100   1803.9200           720.0000         188.7014           1.0000
     5    4    0.0200    0.0150   1803.8336           720.0000         188.6964           1.0000
     5    5    0.0200    0.0200   1803.7082           720.0000         188.6892           1.0000
     5    6    0.0200    0.0250   1803.5434           720.0000         188.6797           1.0000
     5    7    0.0200    0.0300   1803.3388           720.0000         188.6680           1.0000
     5    8    0.0200    0.0350   1803.0940           720.0000         188.6539           1.0000
     5    9    0.0200    0.0400   1802.8090           720.0000         188.6375           1.0000
     5   10    0.0200    0.0450   1802.4839           720.0000         188.6188           1.0000
     5   11    0.0200    0.0500   1802.1193           720.0000         188.5979           1.0000
     5   12    0.0200    0.0550   1801.7157           720.0000         188.5747           1.0000
     5   13    0.0200    0.0600   1801.2736           720.0000         188.5492           1.0000
     5   14    0.0200    0.0650   1800.7928           720.0000         188.5216           1.0000
     5   15    0.0200    0.0700   1800.2720           720.0000         188.4916           1.0000
     5   16    0.0200    0.0750   1799.6865         38555.0401         175.3834           0.9557
     5   17    0.0200    0.0800   1792.7205         13261.7203          64.0213           0.4190
     5   18    0.0200    0.0850   1705.0078           703.0000          36.6028           0.0000
     5   19    0.0200    0.0900   1571.0666           703.0000          35.0625           0.0000
     5   20    0.0200    0.0950   1406.9871           703.0000          33.1756           0.0000
     5   21    0.0200    0.1000   1208.4976           703.7377          30.8929           0.0000
     6    1    0.0250    0.0000   1803.9775           720.0000         188.7047           1.0000
     6    2    0.0250    0.0050   1803.9679           720.0000         188.7042           1.0000
     6    3    0.0250    0.0100   1803.9200           720.0000         188.7014           1.0000
     6    4    0.0250    0.0150   1803.8336           720.0000         188.6964           1.0000
     6    5    0.0250    0.0200   1803.7082           720.0000         188.6892           1.0000
     6    6    0.0250    0.0250   1803.5434           720.0000         188.6797           1.0000
     6    7    0.0250    0.0300   1803.3387           720.0000         188.6680           1.0000
     6    8    0.0250    0.0350   1803.0940           720.0000         188.6539           1.0000
     6    9    0.0250    0.0400   1802.8090           720.0000         188.6375           1.0000
     6   10    0.0250    0.0450   1802.4839           720.0000         188.6188           1.0000
     6   11    0.0250    0.0500   1802.1193           720.0000         188.5979           1.0000
     6   12    0.0250    0.0550   1801.7157           720.0000         188.5747           1.0000
     6   13    0.0250    0.0600   1801.2736           720.0000         188.5492           1.0000
     6   14    0.0250    0.0650   1800.7928           720.0000         188.5216           1.0000
     6   15    0.0250    0.0700   1800.2720           720.0000         188.4916           1.0000
     6   16    0.0250    0.0750   1799.6865         38555.0607         175.3835           0.9557
     6   17    0.0250    0.0800   1792.7204         13261.5711          64.0207           0.4190
     6   18    0.0250    0.0850   1705.0073           703.0000          36.6028           0.0000
     6   19    0.0250    0.0900   1571.0660           703.0000          35.0625           0.0000
     6   20    0.0250    0.0950   1406.9863           703.0000          33.1755           0.0000
     6   21    0.0250    0.1000   1208.4968           703.7384          30.8929           0.0000
     7    1    0.0300    0.0000   1803.9775           720.0000         188.7047           1.0000
     7    2    0.0300    0.0050   1803.9679           720.0000         188.7042           1.0000
     7    3    0.0300    0.0100   1803.9200           720.0000         188.7014           1.0000
     7    4    0.0300    0.0150   1803.8336           720.0000         188.6964           1.0000
     7    5    0.0300    0.0200   1803.7082           720.0000         188.6892           1.0000
     7    6    0.0300    0.0250   1803.5434           720.0000         188.6797           1.0000
     7    7    0.0300    0.0300   1803.3387           720.0000         188.6680           1.0000
     7    8    0.0300    0.0350   1803.0940           720.0000         188.6539           1.0000
     7    9    0.0300    0.0400   1802.8090           720.0000         188.6375           1.0000
     7   10    0.0300    0.0450   1802.4839           720.0000         188.6188           1.0000
     7   11    0.0300    0.0500   1802.1193           720.0000         188.5979           1.0000
     7   12    0.0300    0.0550   1801.7157           720.0000         188.5747           1.0000
     7   13    0.0300    0.0600   1801.2736           720.0000         188.5492           1.0000
     7   14    0.0300    0.0650   1800.7928           720.0000         188.5216           1.0000
     7   15    0.0300    0.0700   1800.2720           720.0000         188.4916           1.0000
     7   16    0.0300    0.0750   1799.6865         38555.0143         175.3833           0.9557
     7   17    0.0300    0.0800   1792.7204         13261.4895          64.0204           0.4190
     7   18    0.0300    0.0850   1705.0071           703.0000          36.6028           0.0000
     7   19    0.0300    0.0900   1571.0656           703.0000          35.0625           0.0000
     7   20    0.0300    0.0950   1406.9858           703.0000          33.1755           0.0000
     7   21    0.0300    0.1000   1208.4962           703.7388          30.8929           0.0000
     8    1    0.0350    0.0000   1803.9775           720.0000         188.7047           1.0000
