 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       50.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          200000
 Maximum Temperature :                             1803.2773 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              541.6788 K - Change from last time step:       0.0083 K
 Average(algebraic, non-weigthed) Temperature :    1708.2508 K - Change from last time step:       0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1803.2773           720.0000         188.6644           1.0000
     1    2    0.0000    0.0050   1803.2676           720.0000         188.6639           1.0000
     1    3    0.0000    0.0100   1803.2187           720.0000         188.6611           1.0000
     1    4    0.0000    0.0150   1803.1310           720.0000         188.6560           1.0000
     1    5    0.0000    0.0200   1803.0046           720.0000         188.6488           1.0000
     1    6    0.0000    0.0250   1802.8399           720.0000         188.6393           1.0000
     1    7    0.0000    0.0300   1802.6377           720.0000         188.6277           1.0000
     1    8    0.0000    0.0350   1802.3988           720.0000         188.6139           1.0000
     1    9    0.0000    0.0400   1802.1245           720.0000         188.5982           1.0000
     1   10    0.0000    0.0450   1801.8165           720.0000         188.5804           1.0000
     1   11    0.0000    0.0500   1801.4765           720.0000         188.5609           1.0000
     1   12    0.0000    0.0550   1801.1064           720.0000         188.5396           1.0000
     1   13    0.0000    0.0600   1800.7076           720.0000         188.5167           1.0000
     1   14    0.0000    0.0650   1800.2808           720.0000         188.4921           1.0000
     1   15    0.0000    0.0700   1799.8147         39601.7570         180.4448           0.9730
     1   16    0.0000    0.0750   1796.2520         21080.3450          95.2856           0.6186
     1   17    0.0000    0.0800   1735.6460           703.0000          36.9551           0.0000
     1   18    0.0000    0.0850   1632.1895           703.0000          35.7654           0.0000
     1   19    0.0000    0.0900   1506.1707           703.0000          34.3162           0.0000
     1   20    0.0000    0.0950   1362.7234           703.0000          32.6665           0.0000
     1   21    0.0000    0.1000   1227.7675           703.0000          31.1145           0.0000
     2    1    0.0050    0.0000   1803.2773           720.0000         188.6644           1.0000
     2    2    0.0050    0.0050   1803.2676           720.0000         188.6639           1.0000
     2    3    0.0050    0.0100   1803.2187           720.0000         188.6611           1.0000
     2    4    0.0050    0.0150   1803.1310           720.0000         188.6560           1.0000
     2    5    0.0050    0.0200   1803.0046           720.0000         188.6488           1.0000
     2    6    0.0050    0.0250   1802.8399           720.0000         188.6393           1.0000
     2    7    0.0050    0.0300   1802.6377           720.0000         188.6277           1.0000
     2    8    0.0050    0.0350   1802.3988           720.0000         188.6139           1.0000
     2    9    0.0050    0.0400   1802.1245           720.0000         188.5982           1.0000
     2   10    0.0050    0.0450   1801.8165           720.0000         188.5804           1.0000
     2   11    0.0050    0.0500   1801.4765           720.0000         188.5609           1.0000
     2   12    0.0050    0.0550   1801.1064           720.0000         188.5396           1.0000
     2   13    0.0050    0.0600   1800.7076           720.0000         188.5167           1.0000
