 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       98.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          392000
 Maximum Temperature :                             1801.0135 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              919.8481 K - Change from last time step:       0.0006 K
 Average(algebraic, non-weigthed) Temperature :    1708.8860 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1801.0135           720.0000         188.5343           1.0000
     1    2    0.0000    0.0050   1801.0081           720.0000         188.5340           1.0000
     1    3    0.0000    0.0100   1800.9812           720.0000         188.5324           1.0000
     1    4    0.0000    0.0150   1800.9332           720.0000         188.5297           1.0000
     1    5    0.0000    0.0200   1800.8649           720.0000         188.5257           1.0000
     1    6    0.0000    0.0250   1800.7773           720.0000         188.5207           1.0000
     1    7    0.0000    0.0300   1800.6718           720.0000         188.5146           1.0000
     1    8    0.0000    0.0350   1800.5500           720.0000         188.5076           1.0000
     1    9    0.0000    0.0400   1800.4136           720.0000         188.4998           1.0000
     1   10    0.0000    0.0450   1800.2644           720.0000         188.4912           1.0000
     1   11    0.0000    0.0500   1800.1043           720.0000         188.4820           1.0000
     1   12    0.0000    0.0550   1799.9335         40610.9288         185.3453           0.9896
     1   13    0.0000    0.0600   1799.2483         35278.8800         159.6932           0.8996
     1   14    0.0000    0.0650   1794.8540         17289.8854          79.5714           0.5278
     1   15    0.0000    0.0700   1761.2658           703.0000          37.2498           0.0000
     1   16    0.0000    0.0750   1710.9516           703.0000          36.6711           0.0000
     1   17    0.0000    0.0800   1655.6071           703.0000          36.0347           0.0000
     1   18    0.0000    0.0850   1596.4502           703.0000          35.3544           0.0000
     1   19    0.0000    0.0900   1534.9230           703.0000          34.6468           0.0000
     1   20    0.0000    0.0950   1472.1701           703.0000          33.9252           0.0000
     1   21    0.0000    0.1000   1408.9018           703.0000          33.1976           0.0000
     2    1    0.0050    0.0000   1801.0135           720.0000         188.5343           1.0000
     2    2    0.0050    0.0050   1801.0081           720.0000         188.5340           1.0000
     2    3    0.0050    0.0100   1800.9812           720.0000         188.5324           1.0000
     2    4    0.0050    0.0150   1800.9332           720.0000         188.5297           1.0000
     2    5    0.0050    0.0200   1800.8649           720.0000         188.5257           1.0000
     2    6    0.0050    0.0250   1800.7773           720.0000         188.5207           1.0000
     2    7    0.0050    0.0300   1800.6718           720.0000         188.5146           1.0000
     2    8    0.0050    0.0350   1800.5500           720.0000         188.5076           1.0000
     2    9    0.0050    0.0400   1800.4136           720.0000         188.4998           1.0000
     2   10    0.0050    0.0450   1800.2644           720.0000         188.4912           1.0000
     2   11    0.0050    0.0500   1800.1043           720.0000         188.4820           1.0000
     2   12    0.0050    0.0550   1799.9335         40610.9129         185.3452           0.9896
     2   13    0.0050    0.0600   1799.2483         35278.8077         159.6929           0.8996
