 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      200.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          800000
 Maximum Temperature :                             1800.0068 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1116.4959 K - Change from last time step:       0.0006 K
 Average(algebraic, non-weigthed) Temperature :    1686.8285 K - Change from last time step:       0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0068         41253.6183         188.4764           1.0000
     1    2    0.0000    0.0050   1800.0068         41253.6170         188.4764           1.0000
     1    3    0.0000    0.0100   1800.0068         41253.5738         188.4762           1.0000
     1    4    0.0000    0.0150   1800.0067         41252.8901         188.4728           1.0000
     1    5    0.0000    0.0200   1800.0060         41246.7311         188.4428           0.9999
     1    6    0.0000    0.0250   1800.0019         41210.0184         188.2637           0.9993
     1    7    0.0000    0.0300   1799.9834         41046.4696         187.4663           0.9966
     1    8    0.0000    0.0350   1799.9153         40453.6785         184.5804           0.9870
     1    9    0.0000    0.0400   1799.6936         38611.8333         175.6575           0.9566
     1   10    0.0000    0.0450   1798.9989         33600.8773         151.7537           0.8699
     1   11    0.0000    0.0500   1796.5235         21966.2049          99.0754           0.6386
     1   12    0.0000    0.0550   1783.9708          6050.0046          41.6266           0.1656
     1   13    0.0000    0.0600   1752.4501           703.0000          37.1484           0.0000
     1   14    0.0000    0.0650   1717.1280           703.0000          36.7422           0.0000
     1   15    0.0000    0.0700   1679.9841           703.0000          36.3150           0.0000
     1   16    0.0000    0.0750   1641.5358           703.0000          35.8729           0.0000
     1   17    0.0000    0.0800   1602.4643           703.0000          35.4235           0.0000
     1   18    0.0000    0.0850   1563.5765           703.0000          34.9763           0.0000
     1   19    0.0000    0.0900   1525.7128           703.0000          34.5409           0.0000
     1   20    0.0000    0.0950   1489.6099           703.0000          34.1257           0.0000
     1   21    0.0000    0.1000   1455.7450           703.0000          33.7363           0.0000
     2    1    0.0050    0.0000   1800.0068         41253.6183         188.4764           1.0000
     2    2    0.0050    0.0050   1800.0068         41253.6170         188.4764           1.0000
     2    3    0.0050    0.0100   1800.0068         41253.5738         188.4762           1.0000
     2    4    0.0050    0.0150   1800.0067         41252.8901         188.4728           1.0000
     2    5    0.0050    0.0200   1800.0060         41246.7309         188.4428           0.9999
     2    6    0.0050    0.0250   1800.0019         41210.0178         188.2637           0.9993
     2    7    0.0050    0.0300   1799.9834         41046.4675         187.4663           0.9966
     2    8    0.0050    0.0350   1799.9153         40453.6724         184.5804           0.9870
     2    9    0.0050    0.0400   1799.6936         38611.8173         175.6574           0.9566
     2   10    0.0050    0.0450   1798.9989         33600.8399         151.7535           0.8699
     2   11    0.0050    0.0500   1796.5235         21966.1339          99.0751           0.6386
     2   12    0.0050    0.0550   1783.9707          6049.9674          41.6265           0.1656
     2   13    0.0050    0.0600   1752.4500           703.0000          37.1484           0.0000
     2   14    0.0050    0.0650   1717.1279           703.0000          36.7422           0.0000
     2   15    0.0050    0.0700   1679.9841           703.0000          36.3150           0.0000
     2   16    0.0050    0.0750   1641.5358           703.0000          35.8729           0.0000
     2   17    0.0050    0.0800   1602.4643           703.0000          35.4235           0.0000
     2   18    0.0050    0.0850   1563.5765           703.0000          34.9763           0.0000
     2   19    0.0050    0.0900   1525.7129           703.0000          34.5409           0.0000
     2   20    0.0050    0.0950   1489.6100           703.0000          34.1257           0.0000
