 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      284.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                         1136000
 Maximum Temperature :                             1800.0055 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1188.2356 K - Change from last time step:       0.0001 K
 Average(algebraic, non-weigthed) Temperature :    1679.8100 K - Change from last time step:      -0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0055         41241.9270         188.4194           0.9998
     1    2    0.0000    0.0050   1800.0049         41236.7246         188.3940           0.9997
     1    3    0.0000    0.0100   1800.0011         41203.4681         188.2318           0.9992
     1    4    0.0000    0.0150   1799.9893         41098.6227         187.7206           0.9975
     1    5    0.0000    0.0200   1799.9554         40801.4758         186.2728           0.9927
     1    6    0.0000    0.0250   1799.8643         40018.4964         182.4660           0.9799
     1    7    0.0000    0.0300   1799.6295         38103.1869         173.2055           0.9481
     1    8    0.0000    0.0350   1799.0304         33806.0302         152.7206           0.8736
     1    9    0.0000    0.0400   1797.3975         25246.4070         113.4273           0.7091
     1   10    0.0000    0.0450   1791.8248         11996.7627          59.4669           0.3813
     1   11    0.0000    0.0500   1774.9753          3605.5856          37.6516           0.0404
     1   12    0.0000    0.0550   1749.1146           703.0000          37.1100           0.0000
     1   13    0.0000    0.0600   1721.9881           703.0000          36.7981           0.0000
     1   14    0.0000    0.0650   1693.7440           703.0000          36.4733           0.0000
     1   15    0.0000    0.0700   1664.4632           703.0000          36.1365           0.0000
     1   16    0.0000    0.0750   1634.2384           703.0000          35.7889           0.0000
     1   17    0.0000    0.0800   1603.1668           703.0000          35.4316           0.0000
     1   18    0.0000    0.0850   1571.3428           703.0000          35.0656           0.0000
     1   19    0.0000    0.0900   1538.8496           703.0000          34.6920           0.0000
     1   20    0.0000    0.0950   1505.7515           703.0000          34.3113           0.0000
     1   21    0.0000    0.1000   1472.0873           703.0000          33.9242           0.0000
     2    1    0.0050    0.0000   1800.0055         41241.9269         188.4194           0.9998
     2    2    0.0050    0.0050   1800.0049         41236.7245         188.3940           0.9997
     2    3    0.0050    0.0100   1800.0011         41203.4678         188.2318           0.9992
     2    4    0.0050    0.0150   1799.9893         41098.6217         187.7206           0.9975
     2    5    0.0050    0.0200   1799.9554         40801.4735         186.2728           0.9927
     2    6    0.0050    0.0250   1799.8643         40018.4908         182.4660           0.9799
     2    7    0.0050    0.0300   1799.6295         38103.1748         173.2054           0.9481
     2    8    0.0050    0.0350   1799.0304         33806.0066         152.7205           0.8736
     2    9    0.0050    0.0400   1797.3975         25246.3681         113.4271           0.7091
     2   10    0.0050    0.0450   1791.8248         11996.7233          59.4668           0.3813
     2   11    0.0050    0.0500   1774.9753          3605.5761          37.6516           0.0404
     2   12    0.0050    0.0550   1749.1146           703.0000          37.1100           0.0000
     2   13    0.0050    0.0600   1721.9881           703.0000          36.7981           0.0000
     2   14    0.0050    0.0650   1693.7439           703.0000          36.4733           0.0000
     2   15    0.0050    0.0700   1664.4632           703.0000          36.1365           0.0000
     2   16    0.0050    0.0750   1634.2383           703.0000          35.7889           0.0000
     2   17    0.0050    0.0800   1603.1668           703.0000          35.4316           0.0000
     2   18    0.0050    0.0850   1571.3428           703.0000          35.0656           0.0000
     2   19    0.0050    0.0900   1538.8496           703.0000          34.6920           0.0000
     2   20    0.0050    0.0950   1505.7515           703.0000          34.3113           0.0000
     2   21    0.0050    0.1000   1472.0873           703.0000          33.9242           0.0000
     3    1    0.0100    0.0000   1800.0055         41241.9268         188.4194           0.9998
     3    2    0.0100    0.0050   1800.0049         41236.7243         188.3940           0.9997
     3    3    0.0100    0.0100   1800.0011         41203.4675         188.2318           0.9992
     3    4    0.0100    0.0150   1799.9893         41098.6209         187.7205           0.9975
     3    5    0.0100    0.0200   1799.9554         40801.4712         186.2728           0.9927
     3    6    0.0100    0.0250   1799.8643         40018.4856         182.4660           0.9799
     3    7    0.0100    0.0300   1799.6295         38103.1634         173.2054           0.9481
     3    8    0.0100    0.0350   1799.0304         33805.9843         152.7204           0.8736
     3    9    0.0100    0.0400   1797.3975         25246.3312         113.4270           0.7091
     3   10    0.0100    0.0450   1791.8248         11996.6857          59.4666           0.3813
     3   11    0.0100    0.0500   1774.9752          3605.5670          37.6516           0.0404
     3   12    0.0100    0.0550   1749.1145           703.0000          37.1100           0.0000
     3   13    0.0100    0.0600   1721.9880           703.0000          36.7981           0.0000
     3   14    0.0100    0.0650   1693.7439           703.0000          36.4733           0.0000
     3   15    0.0100    0.0700   1664.4631           703.0000          36.1365           0.0000
     3   16    0.0100    0.0750   1634.2383           703.0000          35.7889           0.0000
     3   17    0.0100    0.0800   1603.1667           703.0000          35.4316           0.0000
     3   18    0.0100    0.0850   1571.3427           703.0000          35.0656           0.0000
     3   19    0.0100    0.0900   1538.8496           703.0000          34.6920           0.0000
     3   20    0.0100    0.0950   1505.7515           703.0000          34.3113           0.0000
     3   21    0.0100    0.1000   1472.0873           703.0000          33.9242           0.0000
     4    1    0.0150    0.0000   1800.0055         41241.9267         188.4194           0.9998
     4    2    0.0150    0.0050   1800.0049         41236.7242         188.3940           0.9997
     4    3    0.0150    0.0100   1800.0011         41203.4672         188.2318           0.9992
     4    4    0.0150    0.0150   1799.9893         41098.6200         187.7205           0.9975
     4    5    0.0150    0.0200   1799.9554         40801.4692         186.2728           0.9927
     4    6    0.0150    0.0250   1799.8643         40018.4807         182.4660           0.9799
     4    7    0.0150    0.0300   1799.6295         38103.1527         173.2053           0.9481
     4    8    0.0150    0.0350   1799.0304         33805.9633         152.7203           0.8736
     4    9    0.0150    0.0400   1797.3975         25246.2962         113.4268           0.7091
     4   10    0.0150    0.0450   1791.8247         11996.6499          59.4665           0.3813
     4   11    0.0150    0.0500   1774.9752          3605.5583          37.6516           0.0404
     4   12    0.0150    0.0550   1749.1145           703.0000          37.1100           0.0000
     4   13    0.0150    0.0600   1721.9880           703.0000          36.7981           0.0000
     4   14    0.0150    0.0650   1693.7438           703.0000          36.4733           0.0000
     4   15    0.0150    0.0700   1664.4631           703.0000          36.1365           0.0000
     4   16    0.0150    0.0750   1634.2383           703.0000          35.7889           0.0000
     4   17    0.0150    0.0800   1603.1667           703.0000          35.4316           0.0000
     4   18    0.0150    0.0850   1571.3427           703.0000          35.0656           0.0000
     4   19    0.0150    0.0900   1538.8495           703.0000          34.6920           0.0000
     4   20    0.0150    0.0950   1505.7514           703.0000          34.3113           0.0000
     4   21    0.0150    0.1000   1472.0873           703.0000          33.9242           0.0000
     5    1    0.0200    0.0000   1800.0055         41241.9266         188.4194           0.9998
     5    2    0.0200    0.0050   1800.0049         41236.7241         188.3940           0.9997
     5    3    0.0200    0.0100   1800.0011         41203.4669         188.2318           0.9992
     5    4    0.0200    0.0150   1799.9893         41098.6193         187.7205           0.9975
     5    5    0.0200    0.0200   1799.9554         40801.4672         186.2728           0.9927
     5    6    0.0200    0.0250   1799.8643         40018.4761         182.4659           0.9799
     5    7    0.0200    0.0300   1799.6295         38103.1428         173.2053           0.9481
     5    8    0.0200    0.0350   1799.0304         33805.9437         152.7202           0.8736
     5    9    0.0200    0.0400   1797.3975         25246.2634         113.4267           0.7091
     5   10    0.0200    0.0450   1791.8247         11996.6161          59.4664           0.3813
     5   11    0.0200    0.0500   1774.9751          3605.5500          37.6516           0.0404
     5   12    0.0200    0.0550   1749.1144           703.0000          37.1100           0.0000
