 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      932.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                         3728000
 Maximum Temperature :                             1742.3403 K - Change from last time step:      -0.0002 K
 Minimum Temperature :                             1102.7150 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1535.7679 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1742.3403           703.0000          37.0321           0.0000
     1    2    0.0000    0.0050   1741.5610           703.0000          37.0232           0.0000
     1    3    0.0000    0.0100   1737.6986           703.0000          36.9787           0.0000
     1    4    0.0000    0.0150   1730.9181           703.0000          36.9008           0.0000
     1    5    0.0000    0.0200   1721.4840           703.0000          36.7923           0.0000
     1    6    0.0000    0.0250   1709.7164           703.0000          36.6569           0.0000
     1    7    0.0000    0.0300   1695.9441           703.0000          36.4986           0.0000
     1    8    0.0000    0.0350   1680.4689           703.0000          36.3206           0.0000
     1    9    0.0000    0.0400   1663.5441           703.0000          36.1260           0.0000
     1   10    0.0000    0.0450   1645.3680           703.0000          35.9169           0.0000
     1   11    0.0000    0.0500   1626.0881           703.0000          35.6952           0.0000
     1   12    0.0000    0.0550   1605.8102           703.0000          35.4620           0.0000
     1   13    0.0000    0.0600   1584.6092           703.0000          35.2182           0.0000
     1   14    0.0000    0.0650   1562.5380           703.0000          34.9644           0.0000
     1   15    0.0000    0.0700   1539.6345           703.0000          34.7010           0.0000
     1   16    0.0000    0.0750   1515.9270           703.0000          34.4284           0.0000
     1   17    0.0000    0.0800   1491.4368           703.0000          34.1467           0.0000
     1   18    0.0000    0.0850   1466.1810           703.0000          33.8563           0.0000
     1   19    0.0000    0.0900   1440.1736           703.0000          33.5572           0.0000
     1   20    0.0000    0.0950   1413.4264           703.0000          33.2496           0.0000
     1   21    0.0000    0.1000   1385.9497           703.0000          32.9336           0.0000
     2    1    0.0050    0.0000   1742.3401           703.0000          37.0321           0.0000
     2    2    0.0050    0.0050   1741.5608           703.0000          37.0231           0.0000
     2    3    0.0050    0.0100   1737.6985           703.0000          36.9787           0.0000
     2    4    0.0050    0.0150   1730.9179           703.0000          36.9008           0.0000
     2    5    0.0050    0.0200   1721.4839           703.0000          36.7923           0.0000
     2    6    0.0050    0.0250   1709.7163           703.0000          36.6569           0.0000
     2    7    0.0050    0.0300   1695.9440           703.0000          36.4986           0.0000
     2    8    0.0050    0.0350   1680.4688           703.0000          36.3206           0.0000
     2    9    0.0050    0.0400   1663.5440           703.0000          36.1260           0.0000
     2   10    0.0050    0.0450   1645.3680           703.0000          35.9169           0.0000
     2   11    0.0050    0.0500   1626.0881           703.0000          35.6952           0.0000
     2   12    0.0050    0.0550   1605.8102           703.0000          35.4620           0.0000
     2   13    0.0050    0.0600   1584.6092           703.0000          35.2182           0.0000
     2   14    0.0050    0.0650   1562.5380           703.0000          34.9644           0.0000
     2   15    0.0050    0.0700   1539.6345           703.0000          34.7010           0.0000
     2   16    0.0050    0.0750   1515.9270           703.0000          34.4284           0.0000
     2   17    0.0050    0.0800   1491.4368           703.0000          34.1467           0.0000
     2   18    0.0050    0.0850   1466.1810           703.0000          33.8563           0.0000
     2   19    0.0050    0.0900   1440.1736           703.0000          33.5572           0.0000
     2   20    0.0050    0.0950   1413.4264           703.0000          33.2496           0.0000
     2   21    0.0050    0.1000   1385.9497           703.0000          32.9336           0.0000
     3    1    0.0100    0.0000   1742.3400           703.0000          37.0321           0.0000
     3    2    0.0100    0.0050   1741.5606           703.0000          37.0231           0.0000
     3    3    0.0100    0.0100   1737.6983           703.0000          36.9787           0.0000
     3    4    0.0100    0.0150   1730.9178           703.0000          36.9008           0.0000
     3    5    0.0100    0.0200   1721.4837           703.0000          36.7923           0.0000
     3    6    0.0100    0.0250   1709.7162           703.0000          36.6569           0.0000
     3    7    0.0100    0.0300   1695.9439           703.0000          36.4986           0.0000
     3    8    0.0100    0.0350   1680.4688           703.0000          36.3206           0.0000
     3    9    0.0100    0.0400   1663.5440           703.0000          36.1260           0.0000
     3   10    0.0100    0.0450   1645.3679           703.0000          35.9169           0.0000
     3   11    0.0100    0.0500   1626.0880           703.0000          35.6952           0.0000
     3   12    0.0100    0.0550   1605.8101           703.0000          35.4620           0.0000
     3   13    0.0100    0.0600   1584.6092           703.0000          35.2182           0.0000
     3   14    0.0100    0.0650   1562.5379           703.0000          34.9644           0.0000
     3   15    0.0100    0.0700   1539.6345           703.0000          34.7010           0.0000
     3   16    0.0100    0.0750   1515.9269           703.0000          34.4284           0.0000
     3   17    0.0100    0.0800   1491.4367           703.0000          34.1467           0.0000
     3   18    0.0100    0.0850   1466.1810           703.0000          33.8563           0.0000
     3   19    0.0100    0.0900   1440.1735           703.0000          33.5572           0.0000
     3   20    0.0100    0.0950   1413.4263           703.0000          33.2496           0.0000
     3   21    0.0100    0.1000   1385.9497           703.0000          32.9336           0.0000
     4    1    0.0150    0.0000   1742.3398           703.0000          37.0321           0.0000
     4    2    0.0150    0.0050   1741.5604           703.0000          37.0231           0.0000
     4    3    0.0150    0.0100   1737.6981           703.0000          36.9787           0.0000
     4    4    0.0150    0.0150   1730.9176           703.0000          36.9008           0.0000
