 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       42.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                          168000
 Maximum Temperature :                             1803.7460 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              393.7052 K - Change from last time step:      -0.0009 K
 Average(algebraic, non-weigthed) Temperature :    1716.6116 K - Change from last time step:      -0.0004 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1803.7460           720.0000         188.6914           1.0000
     1    2    0.0000    0.0050   1803.7363           720.0000         188.6908           1.0000
     1    3    0.0000    0.0100   1803.6875           720.0000         188.6880           1.0000
     1    4    0.0000    0.0150   1803.5998           720.0000         188.6830           1.0000
     1    5    0.0000    0.0200   1803.4729           720.0000         188.6757           1.0000
     1    6    0.0000    0.0250   1803.3067           720.0000         188.6661           1.0000
     1    7    0.0000    0.0300   1803.1010           720.0000         188.6543           1.0000
     1    8    0.0000    0.0350   1802.8557           720.0000         188.6402           1.0000
     1    9    0.0000    0.0400   1802.5705           720.0000         188.6238           1.0000
     1   10    0.0000    0.0450   1802.2448           720.0000         188.6051           1.0000
     1   11    0.0000    0.0500   1801.8780           720.0000         188.5840           1.0000
     1   12    0.0000    0.0550   1801.4689           720.0000         188.5605           1.0000
     1   13    0.0000    0.0600   1801.0169           720.0000         188.5345           1.0000
     1   14    0.0000    0.0650   1800.5247           720.0000         188.5062           1.0000
     1   15    0.0000    0.0700   1800.0049         41236.6606         188.3937           0.9997
     1   16    0.0000    0.0750   1799.2593         35356.0890         160.0602           0.9010
     1   17    0.0000    0.0800   1784.5144          6288.5874          42.1719           0.1761
     1   18    0.0000    0.0850   1681.1671           703.0000          36.3286           0.0000
     1   19    0.0000    0.0900   1546.8984           703.0000          34.7845           0.0000
     1   20    0.0000    0.0950   1385.0429           703.0000          32.9232           0.0000
     1   21    0.0000    0.1000   1193.7704           717.7934          30.7236           0.0000
     2    1    0.0050    0.0000   1803.7460           720.0000         188.6914           1.0000
     2    2    0.0050    0.0050   1803.7363           720.0000         188.6908           1.0000
     2    3    0.0050    0.0100   1803.6875           720.0000         188.6880           1.0000
     2    4    0.0050    0.0150   1803.5998           720.0000         188.6830           1.0000
     2    5    0.0050    0.0200   1803.4729           720.0000         188.6757           1.0000
     2    6    0.0050    0.0250   1803.3067           720.0000         188.6661           1.0000
     2    7    0.0050    0.0300   1803.1010           720.0000         188.6543           1.0000
     2    8    0.0050    0.0350   1802.8557           720.0000         188.6402           1.0000
     2    9    0.0050    0.0400   1802.5704           720.0000         188.6238           1.0000
     2   10    0.0050    0.0450   1802.2448           720.0000         188.6051           1.0000
     2   11    0.0050    0.0500   1801.8780           720.0000         188.5840           1.0000
     2   12    0.0050    0.0550   1801.4689           720.0000         188.5605           1.0000
     2   13    0.0050    0.0600   1801.0168           720.0000         188.5345           1.0000
