 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       76.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                          304000
 Maximum Temperature :                             1801.8884 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              843.3739 K - Change from last time step:       0.0012 K
 Average(algebraic, non-weigthed) Temperature :    1711.3551 K - Change from last time step:       0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1801.8884           720.0000         188.5846           1.0000
     1    2    0.0000    0.0050   1801.8806           720.0000         188.5841           1.0000
     1    3    0.0000    0.0100   1801.8412           720.0000         188.5819           1.0000
     1    4    0.0000    0.0150   1801.7708           720.0000         188.5778           1.0000
     1    5    0.0000    0.0200   1801.6699           720.0000         188.5720           1.0000
     1    6    0.0000    0.0250   1801.5394           720.0000         188.5645           1.0000
     1    7    0.0000    0.0300   1801.3807           720.0000         188.5554           1.0000
     1    8    0.0000    0.0350   1801.1954           720.0000         188.5447           1.0000
     1    9    0.0000    0.0400   1800.9861           720.0000         188.5327           1.0000
     1   10    0.0000    0.0450   1800.7553           720.0000         188.5194           1.0000
     1   11    0.0000    0.0500   1800.5066           720.0000         188.5051           1.0000
     1   12    0.0000    0.0550   1800.2433           720.0000         188.4900           1.0000
     1   13    0.0000    0.0600   1799.9679         40910.3510         186.8031           0.9944
     1   14    0.0000    0.0650   1799.1704         34741.2951         157.1421           0.8902
     1   15    0.0000    0.0700   1791.1541         11170.5456          56.5994           0.3555
     1   16    0.0000    0.0750   1738.8618           703.0000          36.9921           0.0000
     1   17    0.0000    0.0800   1669.8514           703.0000          36.1985           0.0000
     1   18    0.0000    0.0850   1596.7536           703.0000          35.3579           0.0000
     1   19    0.0000    0.0900   1522.7064           703.0000          34.5063           0.0000
     1   20    0.0000    0.0950   1451.4360           703.0000          33.6867           0.0000
     1   21    0.0000    0.1000   1386.1313           703.0000          32.9357           0.0000
     2    1    0.0050    0.0000   1801.8884           720.0000         188.5846           1.0000
     2    2    0.0050    0.0050   1801.8805           720.0000         188.5841           1.0000
     2    3    0.0050    0.0100   1801.8412           720.0000         188.5819           1.0000
     2    4    0.0050    0.0150   1801.7708           720.0000         188.5778           1.0000
     2    5    0.0050    0.0200   1801.6699           720.0000         188.5720           1.0000
     2    6    0.0050    0.0250   1801.5394           720.0000         188.5645           1.0000
     2    7    0.0050    0.0300   1801.3806           720.0000         188.5554           1.0000
     2    8    0.0050    0.0350   1801.1954           720.0000         188.5447           1.0000
     2    9    0.0050    0.0400   1800.9861           720.0000         188.5327           1.0000
     2   10    0.0050    0.0450   1800.7553           720.0000         188.5194           1.0000
     2   11    0.0050    0.0500   1800.5066           720.0000         188.5051           1.0000
     2   12    0.0050    0.0550   1800.2433           720.0000         188.4900           1.0000
     2   13    0.0050    0.0600   1799.9679         40910.3381         186.8030           0.9944
