 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      104.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                          416000
 Maximum Temperature :                             1800.8324 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              932.5792 K - Change from last time step:       0.0004 K
 Average(algebraic, non-weigthed) Temperature :    1707.4093 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.8324           720.0000         188.5239           1.0000
     1    2    0.0000    0.0050   1800.8277           720.0000         188.5236           1.0000
     1    3    0.0000    0.0100   1800.8041           720.0000         188.5222           1.0000
     1    4    0.0000    0.0150   1800.7619           720.0000         188.5198           1.0000
     1    5    0.0000    0.0200   1800.7016           720.0000         188.5163           1.0000
     1    6    0.0000    0.0250   1800.6240           720.0000         188.5119           1.0000
     1    7    0.0000    0.0300   1800.5300           720.0000         188.5065           1.0000
     1    8    0.0000    0.0350   1800.4204           720.0000         188.5002           1.0000
     1    9    0.0000    0.0400   1800.2962           720.0000         188.4930           1.0000
     1   10    0.0000    0.0450   1800.1585           720.0000         188.4851           1.0000
     1   11    0.0000    0.0500   1800.0079           720.0000         188.4765           1.0000
     1   12    0.0000    0.0550   1799.8419         39829.2370         181.5477           0.9768
     1   13    0.0000    0.0600   1798.8567         32698.0131         147.5112           0.8536
     1   14    0.0000    0.0650   1792.0453         12289.7530          60.5050           0.3902
     1   15    0.0000    0.0700   1754.7889           703.0000          37.1753           0.0000
     1   16    0.0000    0.0750   1704.8726           703.0000          36.6012           0.0000
     1   17    0.0000    0.0800   1651.1246           703.0000          35.9831           0.0000
     1   18    0.0000    0.0850   1594.0454           703.0000          35.3267           0.0000
     1   19    0.0000    0.0900   1534.3555           703.0000          34.6403           0.0000
     1   20    0.0000    0.0950   1472.7942           703.0000          33.9323           0.0000
     1   21    0.0000    0.1000   1409.8860           703.0000          33.2089           0.0000
     2    1    0.0050    0.0000   1800.8324           720.0000         188.5239           1.0000
     2    2    0.0050    0.0050   1800.8277           720.0000         188.5236           1.0000
     2    3    0.0050    0.0100   1800.8041           720.0000         188.5222           1.0000
     2    4    0.0050    0.0150   1800.7619           720.0000         188.5198           1.0000
     2    5    0.0050    0.0200   1800.7016           720.0000         188.5163           1.0000
     2    6    0.0050    0.0250   1800.6240           720.0000         188.5119           1.0000
     2    7    0.0050    0.0300   1800.5300           720.0000         188.5065           1.0000
     2    8    0.0050    0.0350   1800.4204           720.0000         188.5002           1.0000
     2    9    0.0050    0.0400   1800.2962           720.0000         188.4930           1.0000
     2   10    0.0050    0.0450   1800.1585           720.0000         188.4851           1.0000
     2   11    0.0050    0.0500   1800.0079           720.0000         188.4765           1.0000
     2   12    0.0050    0.0550   1799.8419         39829.2097         181.5475           0.9768
     2   13    0.0050    0.0600   1798.8567         32697.9290         147.5108           0.8536
