 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      154.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                          616000
 Maximum Temperature :                             1800.0746 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              977.6921 K - Change from last time step:      -0.0000 K
 Average(algebraic, non-weigthed) Temperature :    1690.4771 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0746           720.0000         188.4803           1.0000
     1    2    0.0000    0.0050   1800.0737           720.0000         188.4802           1.0000
     1    3    0.0000    0.0100   1800.0694           720.0000         188.4800           1.0000
     1    4    0.0000    0.0150   1800.0618           720.0000         188.4796           1.0000
     1    5    0.0000    0.0200   1800.0512           720.0000         188.4789           1.0000
     1    6    0.0000    0.0250   1800.0380           720.0000         188.4782           1.0000
     1    7    0.0000    0.0300   1800.0228           720.0000         188.4773           1.0000
     1    8    0.0000    0.0350   1800.0065         41251.0628         188.4639           1.0000
     1    9    0.0000    0.0400   1799.9800         41016.9722         187.3226           0.9962
     1   10    0.0000    0.0450   1799.8416         39826.6615         181.5352           0.9767
     1   11    0.0000    0.0500   1799.3199         35784.7035         162.0999           0.9085
     1   12    0.0000    0.0550   1797.2760         24746.4303         111.2099           0.6987
     1   13    0.0000    0.0600   1785.2515          6638.4241          43.0081           0.1911
     1   14    0.0000    0.0650   1749.7164           703.0000          37.1169           0.0000
     1   15    0.0000    0.0700   1708.5573           703.0000          36.6436           0.0000
     1   16    0.0000    0.0750   1664.1284           703.0000          36.1327           0.0000
     1   17    0.0000    0.0800   1616.4176           703.0000          35.5840           0.0000
     1   18    0.0000    0.0850   1565.4354           703.0000          34.9977           0.0000
     1   19    0.0000    0.0900   1511.2065           703.0000          34.3741           0.0000
     1   20    0.0000    0.0950   1453.7514           703.0000          33.7133           0.0000
     1   21    0.0000    0.1000   1393.0653           703.0000          33.0155           0.0000
     2    1    0.0050    0.0000   1800.0746           720.0000         188.4803           1.0000
     2    2    0.0050    0.0050   1800.0737           720.0000         188.4802           1.0000
     2    3    0.0050    0.0100   1800.0694           720.0000         188.4800           1.0000
     2    4    0.0050    0.0150   1800.0618           720.0000         188.4796           1.0000
     2    5    0.0050    0.0200   1800.0512           720.0000         188.4789           1.0000
     2    6    0.0050    0.0250   1800.0380           720.0000         188.4782           1.0000
     2    7    0.0050    0.0300   1800.0228           720.0000         188.4773           1.0000
     2    8    0.0050    0.0350   1800.0065         41251.0588         188.4639           1.0000
     2    9    0.0050    0.0400   1799.9800         41016.9679         187.3226           0.9962
     2   10    0.0050    0.0450   1799.8416         39826.6478         181.5351           0.9767
     2   11    0.0050    0.0500   1799.3199         35784.6658         162.0998           0.9085
     2   12    0.0050    0.0550   1797.2759         24746.3482         111.2095           0.6987
     2   13    0.0050    0.0600   1785.2514          6638.3712          43.0079           0.1911
     2   14    0.0050    0.0650   1749.7162           703.0000          37.1169           0.0000
     2   15    0.0050    0.0700   1708.5572           703.0000          36.6436           0.0000
     2   16    0.0050    0.0750   1664.1283           703.0000          36.1327           0.0000
     2   17    0.0050    0.0800   1616.4174           703.0000          35.5840           0.0000
     2   18    0.0050    0.0850   1565.4353           703.0000          34.9977           0.0000
     2   19    0.0050    0.0900   1511.2063           703.0000          34.3741           0.0000
     2   20    0.0050    0.0950   1453.7513           703.0000          33.7133           0.0000
     2   21    0.0050    0.1000   1393.0652           703.0000          33.0154           0.0000
     3    1    0.0100    0.0000   1800.0746           720.0000         188.4803           1.0000
     3    2    0.0100    0.0050   1800.0737           720.0000         188.4802           1.0000
     3    3    0.0100    0.0100   1800.0694           720.0000         188.4800           1.0000
     3    4    0.0100    0.0150   1800.0618           720.0000         188.4796           1.0000
     3    5    0.0100    0.0200   1800.0512           720.0000         188.4789           1.0000
     3    6    0.0100    0.0250   1800.0380           720.0000         188.4782           1.0000
     3    7    0.0100    0.0300   1800.0228           720.0000         188.4773           1.0000
     3    8    0.0100    0.0350   1800.0065         41251.0603         188.4639           1.0000
     3    9    0.0100    0.0400   1799.9800         41016.9647         187.3225           0.9962
     3   10    0.0100    0.0450   1799.8416         39826.6357         181.5351           0.9767
     3   11    0.0100    0.0500   1799.3199         35784.6309         162.0996           0.9085
     3   12    0.0100    0.0550   1797.2759         24746.2714         111.2092           0.6987
     3   13    0.0100    0.0600   1785.2513          6638.3216          43.0078           0.1911
     3   14    0.0100    0.0650   1749.7161           703.0000          37.1169           0.0000
     3   15    0.0100    0.0700   1708.5571           703.0000          36.6436           0.0000
     3   16    0.0100    0.0750   1664.1282           703.0000          36.1327           0.0000
     3   17    0.0100    0.0800   1616.4173           703.0000          35.5840           0.0000
     3   18    0.0100    0.0850   1565.4352           703.0000          34.9977           0.0000
     3   19    0.0100    0.0900   1511.2062           703.0000          34.3741           0.0000
     3   20    0.0100    0.0950   1453.7512           703.0000          33.7133           0.0000
     3   21    0.0100    0.1000   1393.0651           703.0000          33.0154           0.0000
     4    1    0.0150    0.0000   1800.0746           720.0000         188.4803           1.0000
     4    2    0.0150    0.0050   1800.0737           720.0000         188.4802           1.0000
     4    3    0.0150    0.0100   1800.0694           720.0000         188.4800           1.0000
     4    4    0.0150    0.0150   1800.0618           720.0000         188.4796           1.0000
     4    5    0.0150    0.0200   1800.0512           720.0000         188.4789           1.0000
     4    6    0.0150    0.0250   1800.0380           720.0000         188.4782           1.0000
     4    7    0.0150    0.0300   1800.0228           720.0000         188.4773           1.0000
     4    8    0.0150    0.0350   1800.0065         41251.0616         188.4639           1.0000
     4    9    0.0150    0.0400   1799.9800         41016.9599         187.3225           0.9962
     4   10    0.0150    0.0450   1799.8415         39826.6232         181.5350           0.9767
     4   11    0.0150    0.0500   1799.3199         35784.5974         162.0994           0.9085
     4   12    0.0150    0.0550   1797.2759         24746.1979         111.2088           0.6987
     4   13    0.0150    0.0600   1785.2512          6638.2741          43.0077           0.1911
     4   14    0.0150    0.0650   1749.7160           703.0000          37.1169           0.0000
     4   15    0.0150    0.0700   1708.5569           703.0000          36.6436           0.0000
     4   16    0.0150    0.0750   1664.1280           703.0000          36.1327           0.0000
     4   17    0.0150    0.0800   1616.4172           703.0000          35.5840           0.0000
     4   18    0.0150    0.0850   1565.4351           703.0000          34.9977           0.0000
     4   19    0.0150    0.0900   1511.2061           703.0000          34.3741           0.0000
     4   20    0.0150    0.0950   1453.7511           703.0000          33.7133           0.0000
     4   21    0.0150    0.1000   1393.0650           703.0000          33.0154           0.0000
     5    1    0.0200    0.0000   1800.0746           720.0000         188.4803           1.0000
     5    2    0.0200    0.0050   1800.0737           720.0000         188.4802           1.0000
     5    3    0.0200    0.0100   1800.0694           720.0000         188.4800           1.0000
     5    4    0.0200    0.0150   1800.0618           720.0000         188.4796           1.0000
     5    5    0.0200    0.0200   1800.0512           720.0000         188.4789           1.0000
     5    6    0.0200    0.0250   1800.0380           720.0000         188.4782           1.0000
     5    7    0.0200    0.0300   1800.0228           720.0000         188.4773           1.0000
     5    8    0.0200    0.0350   1800.0065         41251.0579         188.4639           1.0000
     5    9    0.0200    0.0400   1799.9800         41016.9567         187.3225           0.9962
     5   10    0.0200    0.0450   1799.8415         39826.6118         181.5349           0.9767
     5   11    0.0200    0.0500   1799.3199         35784.5663         162.0993           0.9085
     5   12    0.0200    0.0550   1797.2759         24746.1297         111.2085           0.6987
     5   13    0.0200    0.0600   1785.2511          6638.2298          43.0076           0.1911
     5   14    0.0200    0.0650   1749.7158           703.0000          37.1169           0.0000
     5   15    0.0200    0.0700   1708.5568           703.0000          36.6436           0.0000
     5   16    0.0200    0.0750   1664.1279           703.0000          36.1327           0.0000
     5   17    0.0200    0.0800   1616.4171           703.0000          35.5840           0.0000
     5   18    0.0200    0.0850   1565.4350           703.0000          34.9977           0.0000
     5   19    0.0200    0.0900   1511.2060           703.0000          34.3741           0.0000
     5   20    0.0200    0.0950   1453.7510           703.0000          33.7133           0.0000
     5   21    0.0200    0.1000   1393.0649           703.0000          33.0154           0.0000
     6    1    0.0250    0.0000   1800.0746           720.0000         188.4803           1.0000
     6    2    0.0250    0.0050   1800.0737           720.0000         188.4802           1.0000
     6    3    0.0250    0.0100   1800.0694           720.0000         188.4800           1.0000
     6    4    0.0250    0.0150   1800.0618           720.0000         188.4796           1.0000
     6    5    0.0250    0.0200   1800.0512           720.0000         188.4789           1.0000
     6    6    0.0250    0.0250   1800.0380           720.0000         188.4782           1.0000
     6    7    0.0250    0.0300   1800.0228           720.0000         188.4773           1.0000
     6    8    0.0250    0.0350   1800.0065         41251.0599         188.4639           1.0000
     6    9    0.0250    0.0400   1799.9800         41016.9543         187.3225           0.9962
     6   10    0.0250    0.0450   1799.8415         39826.6018         181.5349           0.9767
     6   11    0.0250    0.0500   1799.3199         35784.5387         162.0992           0.9085
     6   12    0.0250    0.0550   1797.2759         24746.0688         111.2083           0.6987
     6   13    0.0250    0.0600   1785.2510          6638.1900          43.0075           0.1911
     6   14    0.0250    0.0650   1749.7157           703.0000          37.1169           0.0000
     6   15    0.0250    0.0700   1708.5567           703.0000          36.6436           0.0000
     6   16    0.0250    0.0750   1664.1278           703.0000          36.1327           0.0000
     6   17    0.0250    0.0800   1616.4170           703.0000          35.5840           0.0000
     6   18    0.0250    0.0850   1565.4349           703.0000          34.9977           0.0000
     6   19    0.0250    0.0900   1511.2059           703.0000          34.3741           0.0000
     6   20    0.0250    0.0950   1453.7509           703.0000          33.7133           0.0000
     6   21    0.0250    0.1000   1393.0649           703.0000          33.0154           0.0000
     7    1    0.0300    0.0000   1800.0746           720.0000         188.4803           1.0000
     7    2    0.0300    0.0050   1800.0737           720.0000         188.4802           1.0000
     7    3    0.0300    0.0100   1800.0694           720.0000         188.4800           1.0000
     7    4    0.0300    0.0150   1800.0618           720.0000         188.4796           1.0000
     7    5    0.0300    0.0200   1800.0512           720.0000         188.4789           1.0000
     7    6    0.0300    0.0250   1800.0380           720.0000         188.4782           1.0000
     7    7    0.0300    0.0300   1800.0228           720.0000         188.4773           1.0000
     7    8    0.0300    0.0350   1800.0065         41251.0616         188.4639           1.0000
     7    9    0.0300    0.0400   1799.9800         41016.9505         187.3225           0.9962
     7   10    0.0300    0.0450   1799.8415         39826.5922         181.5349           0.9767
     7   11    0.0300    0.0500   1799.3199         35784.5143         162.0990           0.9085
     7   12    0.0300    0.0550   1797.2759         24746.0149         111.2080           0.6987
     7   13    0.0300    0.0600   1785.2509          6638.1545          43.0074           0.1911
     7   14    0.0300    0.0650   1749.7156           703.0000          37.1169           0.0000
     7   15    0.0300    0.0700   1708.5566           703.0000          36.6436           0.0000
     7   16    0.0300    0.0750   1664.1277           703.0000          36.1327           0.0000
     7   17    0.0300    0.0800   1616.4169           703.0000          35.5840           0.0000
     7   18    0.0300    0.0850   1565.4348           703.0000          34.9977           0.0000
     7   19    0.0300    0.0900   1511.2058           703.0000          34.3741           0.0000
     7   20    0.0300    0.0950   1453.7508           703.0000          33.7133           0.0000
     7   21    0.0300    0.1000   1393.0648           703.0000          33.0154           0.0000
     8    1    0.0350    0.0000   1800.0746           720.0000         188.4803           1.0000
     8    2    0.0350    0.0050   1800.0737           720.0000         188.4802           1.0000
     8    3    0.0350    0.0100   1800.0694           720.0000         188.4800           1.0000
     8    4    0.0350    0.0150   1800.0618           720.0000         188.4796           1.0000
     8    5    0.0350    0.0200   1800.0512           720.0000         188.4789           1.0000
     8    6    0.0350    0.0250   1800.0380           720.0000         188.4782           1.0000
     8    7    0.0350    0.0300   1800.0228           720.0000         188.4773           1.0000
     8    8    0.0350    0.0350   1800.0065         41251.0579         188.4639           1.0000
     8    9    0.0350    0.0400   1799.9800         41016.9479         187.3225           0.9962
     8   10    0.0350    0.0450   1799.8415         39826.5845         181.5348           0.9767
     8   11    0.0350    0.0500   1799.3199         35784.4935         162.0989           0.9085
     8   12    0.0350    0.0550   1797.2758         24745.9692         111.2078           0.6987
     8   13    0.0350    0.0600   1785.2509          6638.1242          43.0073           0.1911
     8   14    0.0350    0.0650   1749.7155           703.0000          37.1169           0.0000
     8   15    0.0350    0.0700   1708.5565           703.0000          36.6436           0.0000
     8   16    0.0350    0.0750   1664.1276           703.0000          36.1327           0.0000
     8   17    0.0350    0.0800   1616.4168           703.0000          35.5840           0.0000
     8   18    0.0350    0.0850   1565.4347           703.0000          34.9977           0.0000
     8   19    0.0350    0.0900   1511.2058           703.0000          34.3741           0.0000
     8   20    0.0350    0.0950   1453.7507           703.0000          33.7133           0.0000
     8   21    0.0350    0.1000   1393.0647           703.0000          33.0154           0.0000
     9    1    0.0400    0.0000   1800.0746           720.0000         188.4803           1.0000
     9    2    0.0400    0.0050   1800.0737           720.0000         188.4802           1.0000
     9    3    0.0400    0.0100   1800.0694           720.0000         188.4800           1.0000
     9    4    0.0400    0.0150   1800.0618           720.0000         188.4796           1.0000
     9    5    0.0400    0.0200   1800.0512           720.0000         188.4789           1.0000
     9    6    0.0400    0.0250   1800.0380           720.0000         188.4782           1.0000
     9    7    0.0400    0.0300   1800.0228           720.0000         188.4773           1.0000
     9    8    0.0400    0.0350   1800.0065         41251.0593         188.4639           1.0000
     9    9    0.0400    0.0400   1799.9800         41016.9445         187.3224           0.9962
     9   10    0.0400    0.0450   1799.8415         39826.5771         181.5348           0.9767
     9   11    0.0400    0.0500   1799.3199         35784.4758         162.0989           0.9085
     9   12    0.0400    0.0550   1797.2758         24745.9306         111.2076           0.6987
     9   13    0.0400    0.0600   1785.2508          6638.0983          43.0073           0.1911
     9   14    0.0400    0.0650   1749.7154           703.0000          37.1169           0.0000
     9   15    0.0400    0.0700   1708.5564           703.0000          36.6436           0.0000
     9   16    0.0400    0.0750   1664.1275           703.0000          36.1327           0.0000
     9   17    0.0400    0.0800   1616.4167           703.0000          35.5840           0.0000
     9   18    0.0400    0.0850   1565.4346           703.0000          34.9977           0.0000
     9   19    0.0400    0.0900   1511.2057           703.0000          34.3741           0.0000
     9   20    0.0400    0.0950   1453.7507           703.0000          33.7133           0.0000
     9   21    0.0400    0.1000   1393.0646           703.0000          33.0154           0.0000
    10    1    0.0450    0.0000   1800.0746           720.0000         188.4803           1.0000
    10    2    0.0450    0.0050   1800.0737           720.0000         188.4802           1.0000
    10    3    0.0450    0.0100   1800.0694           720.0000         188.4800           1.0000
    10    4    0.0450    0.0150   1800.0618           720.0000         188.4796           1.0000
    10    5    0.0450    0.0200   1800.0512           720.0000         188.4789           1.0000
    10    6    0.0450    0.0250   1800.0380           720.0000         188.4782           1.0000
    10    7    0.0450    0.0300   1800.0228           720.0000         188.4773           1.0000
    10    8    0.0450    0.0350   1800.0065         41251.0556         188.4639           1.0000
    10    9    0.0450    0.0400   1799.9800         41016.9424         187.3224           0.9962
    10   10    0.0450    0.0450   1799.8415         39826.5715         181.5348           0.9767
    10   11    0.0450    0.0500   1799.3199         35784.4614         162.0988           0.9085
    10   12    0.0450    0.0550   1797.2758         24745.8982         111.2075           0.6987
    10   13    0.0450    0.0600   1785.2508          6638.0763          43.0072           0.1911
    10   14    0.0450    0.0650   1749.7154           703.0000          37.1169           0.0000
    10   15    0.0450    0.0700   1708.5563           703.0000          36.6436           0.0000
    10   16    0.0450    0.0750   1664.1274           703.0000          36.1327           0.0000
    10   17    0.0450    0.0800   1616.4166           703.0000          35.5840           0.0000
    10   18    0.0450    0.0850   1565.4345           703.0000          34.9977           0.0000
    10   19    0.0450    0.0900   1511.2056           703.0000          34.3741           0.0000
    10   20    0.0450    0.0950   1453.7506           703.0000          33.7133           0.0000
    10   21    0.0450    0.1000   1393.0646           703.0000          33.0154           0.0000
    11    1    0.0500    0.0000   1800.0746           720.0000         188.4803           1.0000
    11    2    0.0500    0.0050   1800.0737           720.0000         188.4802           1.0000
    11    3    0.0500    0.0100   1800.0694           720.0000         188.4800           1.0000
    11    4    0.0500    0.0150   1800.0618           720.0000         188.4796           1.0000
    11    5    0.0500    0.0200   1800.0512           720.0000         188.4789           1.0000
    11    6    0.0500    0.0250   1800.0380           720.0000         188.4782           1.0000
    11    7    0.0500    0.0300   1800.0228           720.0000         188.4773           1.0000
    11    8    0.0500    0.0350   1800.0065         41251.0568         188.4639           1.0000
    11    9    0.0500    0.0400   1799.9800         41016.9391         187.3224           0.9962
    11   10    0.0500    0.0450   1799.8415         39826.5666         181.5347           0.9767
    11   11    0.0500    0.0500   1799.3199         35784.4501         162.0987           0.9085
    11   12    0.0500    0.0550   1797.2758         24745.8733         111.2074           0.6987
    11   13    0.0500    0.0600   1785.2507          6638.0591          43.0072           0.1911
    11   14    0.0500    0.0650   1749.7153           703.0000          37.1169           0.0000
    11   15    0.0500    0.0700   1708.5563           703.0000          36.6436           0.0000
    11   16    0.0500    0.0750   1664.1274           703.0000          36.1327           0.0000
    11   17    0.0500    0.0800   1616.4166           703.0000          35.5840           0.0000
    11   18    0.0500    0.0850   1565.4345           703.0000          34.9977           0.0000
    11   19    0.0500    0.0900   1511.2056           703.0000          34.3741           0.0000
    11   20    0.0500    0.0950   1453.7505           703.0000          33.7133           0.0000
    11   21    0.0500    0.1000   1393.0645           703.0000          33.0154           0.0000
    12    1    0.0550    0.0000   1800.0746           720.0000         188.4803           1.0000
    12    2    0.0550    0.0050   1800.0737           720.0000         188.4802           1.0000
    12    3    0.0550    0.0100   1800.0694           720.0000         188.4800           1.0000
    12    4    0.0550    0.0150   1800.0618           720.0000         188.4796           1.0000
    12    5    0.0550    0.0200   1800.0512           720.0000         188.4789           1.0000
    12    6    0.0550    0.0250   1800.0380           720.0000         188.4782           1.0000
    12    7    0.0550    0.0300   1800.0228           720.0000         188.4773           1.0000
    12    8    0.0550    0.0350   1800.0065         41251.0581         188.4639           1.0000
    12    9    0.0550    0.0400   1799.9800         41016.9357         187.3224           0.9962
    12   10    0.0550    0.0450   1799.8415         39826.5618         181.5347           0.9767
    12   11    0.0550    0.0500   1799.3199         35784.4411         162.0987           0.9085
    12   12    0.0550    0.0550   1797.2758         24745.8550         111.2073           0.6987
    12   13    0.0550    0.0600   1785.2507          6638.0465          43.0071           0.1911
    12   14    0.0550    0.0650   1749.7153           703.0000          37.1169           0.0000
    12   15    0.0550    0.0700   1708.5562           703.0000          36.6436           0.0000
    12   16    0.0550    0.0750   1664.1273           703.0000          36.1327           0.0000
    12   17    0.0550    0.0800   1616.4165           703.0000          35.5840           0.0000
    12   18    0.0550    0.0850   1565.4344           703.0000          34.9977           0.0000
    12   19    0.0550    0.0900   1511.2055           703.0000          34.3741           0.0000
    12   20    0.0550    0.0950   1453.7505           703.0000          33.7133           0.0000
    12   21    0.0550    0.1000   1393.0645           703.0000          33.0154           0.0000
    13    1    0.0600    0.0000   1800.0746           720.0000         188.4803           1.0000
    13    2    0.0600    0.0050   1800.0737           720.0000         188.4802           1.0000
    13    3    0.0600    0.0100   1800.0694           720.0000         188.4800           1.0000
    13    4    0.0600    0.0150   1800.0618           720.0000         188.4796           1.0000
    13    5    0.0600    0.0200   1800.0512           720.0000         188.4789           1.0000
    13    6    0.0600    0.0250   1800.0380           720.0000         188.4782           1.0000
    13    7    0.0600    0.0300   1800.0228           720.0000         188.4773           1.0000
    13    8    0.0600    0.0350   1800.0065         41251.0595         188.4639           1.0000
    13    9    0.0600    0.0400   1799.9800         41016.9344         187.3224           0.9962
    13   10    0.0600    0.0450   1799.8415         39826.5588         181.5347           0.9767
    13   11    0.0600    0.0500   1799.3199         35784.4350         162.0987           0.9085
    13   12    0.0600    0.0550   1797.2758         24745.8426         111.2073           0.6987
    13   13    0.0600    0.0600   1785.2507          6638.0374          43.0071           0.1911
    13   14    0.0600    0.0650   1749.7152           703.0000          37.1169           0.0000
    13   15    0.0600    0.0700   1708.5562           703.0000          36.6436           0.0000
    13   16    0.0600    0.0750   1664.1273           703.0000          36.1327           0.0000
    13   17    0.0600    0.0800   1616.4165           703.0000          35.5840           0.0000
    13   18    0.0600    0.0850   1565.4344           703.0000          34.9977           0.0000
    13   19    0.0600    0.0900   1511.2055           703.0000          34.3741           0.0000
    13   20    0.0600    0.0950   1453.7505           703.0000          33.7133           0.0000
    13   21    0.0600    0.1000   1393.0644           703.0000          33.0154           0.0000
    14    1    0.0650    0.0000   1800.0746           720.0000         188.4803           1.0000
    14    2    0.0650    0.0050   1800.0737           720.0000         188.4802           1.0000
    14    3    0.0650    0.0100   1800.0694           720.0000         188.4800           1.0000
    14    4    0.0650    0.0150   1800.0618           720.0000         188.4796           1.0000
    14    5    0.0650    0.0200   1800.0512           720.0000         188.4789           1.0000
    14    6    0.0650    0.0250   1800.0380           720.0000         188.4782           1.0000
    14    7    0.0650    0.0300   1800.0228           720.0000         188.4773           1.0000
    14    8    0.0650    0.0350   1800.0065         41251.0551         188.4639           1.0000
    14    9    0.0650    0.0400   1799.9800         41016.9327         187.3224           0.9962
    14   10    0.0650    0.0450   1799.8415         39826.5572         181.5347           0.9767
    14   11    0.0650    0.0500   1799.3199         35784.4319         162.0986           0.9085
    14   12    0.0650    0.0550   1797.2758         24745.8344         111.2072           0.6987
    14   13    0.0650    0.0600   1785.2507          6638.0304          43.0071           0.1911
    14   14    0.0650    0.0650   1749.7152           703.0000          37.1169           0.0000
    14   15    0.0650    0.0700   1708.5562           703.0000          36.6436           0.0000
    14   16    0.0650    0.0750   1664.1273           703.0000          36.1327           0.0000
    14   17    0.0650    0.0800   1616.4164           703.0000          35.5840           0.0000
    14   18    0.0650    0.0850   1565.4343           703.0000          34.9977           0.0000
    14   19    0.0650    0.0900   1511.2054           703.0000          34.3741           0.0000
    14   20    0.0650    0.0950   1453.7504           703.0000          33.7133           0.0000
    14   21    0.0650    0.1000   1393.0644           703.0000          33.0154           0.0000
    15    1    0.0700    0.0000   1800.0746           720.0000         188.4803           1.0000
    15    2    0.0700    0.0050   1800.0737           720.0000         188.4802           1.0000
    15    3    0.0700    0.0100   1800.0694           720.0000         188.4800           1.0000
    15    4    0.0700    0.0150   1800.0618           720.0000         188.4796           1.0000
    15    5    0.0700    0.0200   1800.0512           720.0000         188.4789           1.0000
    15    6    0.0700    0.0250   1800.0380           720.0000         188.4782           1.0000
    15    7    0.0700    0.0300   1800.0228           720.0000         188.4773           1.0000
    15    8    0.0700    0.0350   1800.0065         41251.0558         188.4639           1.0000
    15    9    0.0700    0.0400   1799.9800         41016.9324         187.3224           0.9962
