 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 Lever rule was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      272.0000 seconds
 Time Step:                                           0.0003 seconds
 Iterations:                                         1088000
 Maximum Temperature :                             1800.0061 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                             1184.9145 K - Change from last time step:       0.0001 K
 Average(algebraic, non-weigthed) Temperature :    1681.4380 K - Change from last time step:      -0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0061         41247.1664         188.4449           0.9999
     1    2    0.0000    0.0050   1800.0057         41243.8979         188.4290           0.9998
     1    3    0.0000    0.0100   1800.0033         41222.3887         188.3241           0.9995
     1    4    0.0000    0.0150   1799.9952         41150.8790         187.9753           0.9983
     1    5    0.0000    0.0200   1799.9709         40937.2062         186.9339           0.9949
     1    6    0.0000    0.0250   1799.9027         40345.8645         184.0562           0.9853
     1    7    0.0000    0.0300   1799.7207         38829.9963         176.7108           0.9602
     1    8    0.0000    0.0350   1799.2458         35261.3919         159.6101           0.8993
     1    9    0.0000    0.0400   1797.9518         27735.9708         124.6107           0.7596
     1   10    0.0000    0.0450   1793.6345         14784.9771          69.7330           0.4619
     1   11    0.0000    0.0500   1778.6252          4341.2039          38.4642           0.0823
     1   12    0.0000    0.0550   1752.7394           703.0000          37.1517           0.0000
     1   13    0.0000    0.0600   1725.2421           703.0000          36.8355           0.0000
     1   14    0.0000    0.0650   1696.5593           703.0000          36.5056           0.0000
     1   15    0.0000    0.0700   1666.7984           703.0000          36.1634           0.0000
     1   16    0.0000    0.0750   1636.0841           703.0000          35.8102           0.0000
     1   17    0.0000    0.0800   1604.5480           703.0000          35.4475           0.0000
     1   18    0.0000    0.0850   1572.3177           703.0000          35.0769           0.0000
     1   19    0.0000    0.0900   1539.5056           703.0000          34.6995           0.0000
     1   20    0.0000    0.0950   1506.1980           703.0000          34.3165           0.0000
     1   21    0.0000    0.1000   1472.4460           703.0000          33.9283           0.0000
     2    1    0.0050    0.0000   1800.0061         41247.1663         188.4449           0.9999
     2    2    0.0050    0.0050   1800.0057         41243.8978         188.4290           0.9998
     2    3    0.0050    0.0100   1800.0033         41222.3885         188.3241           0.9995
     2    4    0.0050    0.0150   1799.9952         41150.8783         187.9753           0.9983
     2    5    0.0050    0.0200   1799.9709         40937.2044         186.9339           0.9949
     2    6    0.0050    0.0250   1799.9027         40345.8600         184.0562           0.9853
     2    7    0.0050    0.0300   1799.7207         38829.9860         176.7108           0.9602
     2    8    0.0050    0.0350   1799.2458         35261.3706         159.6100           0.8993
     2    9    0.0050    0.0400   1797.9517         27735.9330         124.6105           0.7596
     2   10    0.0050    0.0450   1793.6345         14784.9305          69.7328           0.4619
     2   11    0.0050    0.0500   1778.6251          4341.1902          38.4642           0.0823
     2   12    0.0050    0.0550   1752.7393           703.0000          37.1517           0.0000
     2   13    0.0050    0.0600   1725.2420           703.0000          36.8355           0.0000
     2   14    0.0050    0.0650   1696.5592           703.0000          36.5056           0.0000
     2   15    0.0050    0.0700   1666.7984           703.0000          36.1634           0.0000
     2   16    0.0050    0.0750   1636.0841           703.0000          35.8102           0.0000
     2   17    0.0050    0.0800   1604.5480           703.0000          35.4475           0.0000
     2   18    0.0050    0.0850   1572.3176           703.0000          35.0769           0.0000
     2   19    0.0050    0.0900   1539.5056           703.0000          34.6995           0.0000
     2   20    0.0050    0.0950   1506.1980           703.0000          34.3165           0.0000
     2   21    0.0050    0.1000   1472.4460           703.0000          33.9283           0.0000
     3    1    0.0100    0.0000   1800.0061         41247.1663         188.4449           0.9999
     3    2    0.0100    0.0050   1800.0057         41243.8977         188.4290           0.9998
     3    3    0.0100    0.0100   1800.0033         41222.3883         188.3241           0.9995
     3    4    0.0100    0.0150   1799.9952         41150.8777         187.9753           0.9983
     3    5    0.0100    0.0200   1799.9709         40937.2027         186.9339           0.9949
     3    6    0.0100    0.0250   1799.9027         40345.8557         184.0562           0.9853
     3    7    0.0100    0.0300   1799.7207         38829.9763         176.7107           0.9602
     3    8    0.0100    0.0350   1799.2458         35261.3505         159.6099           0.8993
     3    9    0.0100    0.0400   1797.9517         27735.8971         124.6104           0.7596
     3   10    0.0100    0.0450   1793.6345         14784.8859          69.7327           0.4619
     3   11    0.0100    0.0500   1778.6250          4341.1770          38.4642           0.0823
     3   12    0.0100    0.0550   1752.7392           703.0000          37.1517           0.0000
     3   13    0.0100    0.0600   1725.2420           703.0000          36.8355           0.0000
     3   14    0.0100    0.0650   1696.5592           703.0000          36.5056           0.0000
     3   15    0.0100    0.0700   1666.7984           703.0000          36.1634           0.0000
     3   16    0.0100    0.0750   1636.0841           703.0000          35.8102           0.0000
     3   17    0.0100    0.0800   1604.5479           703.0000          35.4475           0.0000
     3   18    0.0100    0.0850   1572.3176           703.0000          35.0769           0.0000
     3   19    0.0100    0.0900   1539.5055           703.0000          34.6995           0.0000
     3   20    0.0100    0.0950   1506.1979           703.0000          34.3165           0.0000
     3   21    0.0100    0.1000   1472.4459           703.0000          33.9283           0.0000
     4    1    0.0150    0.0000   1800.0061         41247.1662         188.4449           0.9999
     4    2    0.0150    0.0050   1800.0057         41243.8976         188.4290           0.9998
     4    3    0.0150    0.0100   1800.0033         41222.3880         188.3241           0.9995
     4    4    0.0150    0.0150   1799.9952         41150.8771         187.9753           0.9983
     4    5    0.0150    0.0200   1799.9709         40937.2011         186.9339           0.9949
     4    6    0.0150    0.0250   1799.9027         40345.8517         184.0562           0.9853
     4    7    0.0150    0.0300   1799.7207         38829.9672         176.7107           0.9602
     4    8    0.0150    0.0350   1799.2458         35261.3316         159.6099           0.8993
     4    9    0.0150    0.0400   1797.9517         27735.8630         124.6102           0.7596
     4   10    0.0150    0.0450   1793.6344         14784.8433          69.7325           0.4619
     4   11    0.0150    0.0500   1778.6250          4341.1644          38.4642           0.0823
     4   12    0.0150    0.0550   1752.7392           703.0000          37.1517           0.0000
     4   13    0.0150    0.0600   1725.2419           703.0000          36.8355           0.0000
     4   14    0.0150    0.0650   1696.5591           703.0000          36.5056           0.0000
     4   15    0.0150    0.0700   1666.7983           703.0000          36.1634           0.0000
     4   16    0.0150    0.0750   1636.0840           703.0000          35.8102           0.0000
     4   17    0.0150    0.0800   1604.5479           703.0000          35.4475           0.0000
     4   18    0.0150    0.0850   1572.3176           703.0000          35.0769           0.0000
     4   19    0.0150    0.0900   1539.5055           703.0000          34.6995           0.0000
     4   20    0.0150    0.0950   1506.1979           703.0000          34.3165           0.0000
     4   21    0.0150    0.1000   1472.4459           703.0000          33.9283           0.0000
     5    1    0.0200    0.0000   1800.0061         41247.1661         188.4449           0.9999
     5    2    0.0200    0.0050   1800.0057         41243.8975         188.4290           0.9998
     5    3    0.0200    0.0100   1800.0033         41222.3878         188.3241           0.9995
     5    4    0.0200    0.0150   1799.9952         41150.8765         187.9753           0.9983
     5    5    0.0200    0.0200   1799.9709         40937.1995         186.9339           0.9949
     5    6    0.0200    0.0250   1799.9027         40345.8480         184.0561           0.9853
     5    7    0.0200    0.0300   1799.7207         38829.9586         176.7106           0.9602
     5    8    0.0200    0.0350   1799.2458         35261.3139         159.6098           0.8993
     5    9    0.0200    0.0400   1797.9517         27735.8310         124.6101           0.7596
     5   10    0.0200    0.0450   1793.6344         14784.8030          69.7324           0.4619
     5   11    0.0200    0.0500   1778.6249          4341.1523          38.4641           0.0823
     5   12    0.0200    0.0550   1752.7391           703.0000          37.1517           0.0000
     5   13    0.0200    0.0600   1725.2419           703.0000          36.8355           0.0000
     5   14    0.0200    0.0650   1696.5591           703.0000          36.5056           0.0000
