 ========================================================================
 Mesh information:
 Nx = 101
 Ny =  21
  
 Slab / Billet dimensions:
 X(m) =       1.0000
 Y(m) =       0.2000
                                                                         
                                                                         
 ========================================================================
              Time(s)   Thickness in X(m)   Thickness in Y(m)
               0.0000              0.0000              0.0000
               2.0000              0.0000              0.0000
               4.0000              0.0003              0.0003
               6.0000              0.0006              0.0006
               8.0000              0.0019              0.0019
              10.0000              0.0053              0.0053
              12.0000              0.0054              0.0054
              14.0000              0.0055              0.0055
              16.0000              0.0061              0.0061
              18.0000              0.0100              0.0100
              20.0000              0.0103              0.0103
              22.0000              0.0104              0.0104
              24.0000              0.0105              0.0105
              26.0000              0.0108              0.0108
              28.0000              0.0114              0.0114
              30.0000              0.0150              0.0150
              32.0000              0.0153              0.0153
              34.0000              0.0154              0.0154
              36.0000              0.0155              0.0155
              38.0000              0.0156              0.0156
              40.0000              0.0159              0.0159
              42.0000              0.0164              0.0164
              44.0000              0.0184              0.0184
              46.0000              0.0203              0.0203
              48.0000              0.0203              0.0203
              50.0000              0.0204              0.0204
              52.0000              0.0205              0.0205
              54.0000              0.0206              0.0206
              56.0000              0.0208              0.0208
              58.0000              0.0212              0.0211
              60.0000              0.0218              0.0218
              62.0000              0.0236              0.0235
              64.0000              0.0252              0.0252
              66.0000              0.0254              0.0253
              68.0000              0.0254              0.0254
              70.0000              0.0254              0.0254
              72.0000              0.0255              0.0255
              74.0000              0.0256              0.0256
              76.0000              0.0257              0.0257
              78.0000              0.0259              0.0258
              80.0000              0.0261              0.0260
              82.0000              0.0264              0.0263
              84.0000              0.0268              0.0267
              86.0000              0.0275              0.0273
              88.0000              0.0288              0.0284
              90.0000              0.0301              0.0300
              92.0000              0.0303              0.0302
              94.0000              0.0304              0.0304
              96.0000              0.0304              0.0304
              98.0000              0.0305              0.0305
             100.0000              0.0305              0.0305
             102.0000              0.0306              0.0306
             104.0000              0.0307              0.0306
             106.0000              0.0308              0.0307
             108.0000              0.0309              0.0308
             110.0000              0.0310              0.0309
             112.0000              0.0311              0.0311
             114.0000              0.0314              0.0312
             116.0000              0.0316              0.0314
             118.0000              0.0320              0.0317
             120.0000              0.0325              0.0321
             122.0000              0.0332              0.0326
             124.0000              0.0343              0.0333
             126.0000              0.0351              0.0344
             128.0000              0.0353              0.0351
             130.0000              0.0354              0.0352
             132.0000              0.0355              0.0354
             134.0000              0.0355              0.0355
             136.0000              0.0356              0.0355
             138.0000              0.0356              0.0356
             140.0000              0.0357              0.0356
             142.0000              0.0358              0.0357
             144.0000              0.0359              0.0358
             146.0000              0.0360              0.0358
             148.0000              0.0361              0.0359
             150.0000              0.0363              0.0360
             152.0000              0.0365              0.0362
             154.0000              0.0367              0.0363
             156.0000              0.0371              0.0365
             158.0000              0.0375              0.0367
             160.0000              0.0381              0.0370
             162.0000              0.0391              0.0374
             164.0000              0.0401              0.0378
             166.0000              0.0402              0.0385
             168.0000              0.0404              0.0394
             170.0000              0.0405              0.0401
             171.6000              0.0406              0.0402
             172.0000              0.0406              0.0402
             174.0000              0.0406              0.0403
             176.0000              0.0407              0.0405
             178.0000              0.0407              0.0406
             180.0000              0.0408              0.0406
             182.0000              0.0409              0.0407
             184.0000              0.0410              0.0407
             186.0000              0.0411              0.0408
             188.0000              0.0413              0.0408
             190.0000              0.0414              0.0409
             192.0000              0.0417              0.0410
             194.0000              0.0420              0.0411
             196.0000              0.0423              0.0412
             198.0000              0.0428              0.0414
             200.0000              0.0435              0.0415
             202.0000              0.0445              0.0417
             204.0000              0.0451              0.0419
             206.0000              0.0452              0.0421
             208.0000              0.0454              0.0424
             210.0000              0.0455              0.0428
             212.0000              0.0456              0.0432
             214.0000              0.0456              0.0437
             216.0000              0.0457              0.0443
             218.0000              0.0458              0.0450
             220.0000              0.0458              0.0451
             222.0000              0.0459              0.0452
             224.0000              0.0460              0.0453
             226.0000              0.0461              0.0454
             228.0000              0.0462              0.0456
             230.0000              0.0464              0.0457
             232.0000              0.0465              0.0457
             234.0000              0.0468              0.0458
             236.0000              0.0470              0.0458
             238.0000              0.0473              0.0459
             240.0000              0.0477              0.0459
             242.0000              0.0483              0.0460
             244.0000              0.0490              0.0460
             246.0000              0.0500              0.0461
             248.0000              0.0501              0.0462
             250.0000              0.0503              0.0463
             252.0000              0.0504              0.0464
             254.0000              0.0506              0.0465
             256.0000              0.0507              0.0466
             258.0000              0.0507              0.0467
             260.0000              0.0508              0.0468
             262.0000              0.0508              0.0470
             264.0000              0.0509              0.0471
             266.0000              0.0510              0.0473
             268.0000              0.0511              0.0475
             270.0000              0.0512              0.0478
             272.0000              0.0513              0.0480
             274.0000              0.0515              0.0484
             276.0000              0.0517              0.0487
             278.0000              0.0519              0.0492
             280.0000              0.0522              0.0497
             282.0000              0.0525              0.0500
             284.0000              0.0529              0.0501
             286.0000              0.0535              0.0502
             288.0000              0.0543              0.0503
             290.0000              0.0551              0.0504
             292.0000              0.0552              0.0505
             294.0000              0.0554              0.0506
             296.0000              0.0555              0.0507
             298.0000              0.0557              0.0508
             300.0000              0.0557              0.0509
             302.0000              0.0558              0.0509
             304.0000              0.0558              0.0510
             306.0000              0.0559              0.0510
