 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       65.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          325000
 Maximum Temperature :                             1800.0109 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              757.7198 K - Change from last time step:       0.0027 K
 Average(algebraic, non-weigthed) Temperature :    1708.1376 K - Change from last time step:       0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0109           720.0000         188.4766           1.0000
     1    2    0.0000    0.0050   1800.0107           720.0000         188.4766           1.0000
     1    3    0.0000    0.0100   1800.0102           720.0000         188.4766           1.0000
     1    4    0.0000    0.0150   1800.0092           720.0000         188.4765           1.0000
     1    5    0.0000    0.0200   1800.0079           720.0000         188.4765           1.0000
     1    6    0.0000    0.0250   1800.0064         10301.6542         188.4720           1.0000
     1    7    0.0000    0.0300   1800.0021         10301.6542         188.4282           0.9998
     1    8    0.0000    0.0350   1799.9892         10301.6542         188.2955           0.9994
     1    9    0.0000    0.0400   1799.9553         10301.6542         187.9471           0.9983
     1   10    0.0000    0.0450   1799.8727         10301.6542         187.1002           0.9955
     1   11    0.0000    0.0500   1799.6820         10301.6542         185.1543           0.9890
     1   12    0.0000    0.0550   1799.2598         10301.6542         180.8912           0.9747
     1   13    0.0000    0.0600   1798.3515         10301.6542         171.9340           0.9439
     1   14    0.0000    0.0650   1796.4061         10301.6542         153.7274           0.8779
     1   15    0.0000    0.0700   1791.9197         10301.6542         116.8154           0.7257
     1   16    0.0000    0.0750   1771.9805         10301.6542          37.7381           0.0494
     1   17    0.0000    0.0800   1689.1087           703.0000          36.4199           0.0000
     1   18    0.0000    0.0850   1598.0235           703.0000          35.3725           0.0000
     1   19    0.0000    0.0900   1502.7545           703.0000          34.2769           0.0000
     1   20    0.0000    0.0950   1412.1976           703.0000          33.2355           0.0000
     1   21    0.0000    0.1000   1340.1369           703.0000          32.4068           0.0000
     2    1    0.0050    0.0000   1800.0109           720.0000         188.4766           1.0000
     2    2    0.0050    0.0050   1800.0107           720.0000         188.4766           1.0000
     2    3    0.0050    0.0100   1800.0102           720.0000         188.4766           1.0000
     2    4    0.0050    0.0150   1800.0092           720.0000         188.4765           1.0000
     2    5    0.0050    0.0200   1800.0079           720.0000         188.4765           1.0000
     2    6    0.0050    0.0250   1800.0064         10301.6542         188.4720           1.0000
     2    7    0.0050    0.0300   1800.0021         10301.6542         188.4282           0.9998
     2    8    0.0050    0.0350   1799.9892         10301.6542         188.2955           0.9994
     2    9    0.0050    0.0400   1799.9553         10301.6542         187.9470           0.9983
     2   10    0.0050    0.0450   1799.8727         10301.6542         187.1002           0.9955
     2   11    0.0050    0.0500   1799.6820         10301.6542         185.1543           0.9890
     2   12    0.0050    0.0550   1799.2598         10301.6542         180.8911           0.9747
     2   13    0.0050    0.0600   1798.3515         10301.6542         171.9338           0.9439
     2   14    0.0050    0.0650   1796.4061         10301.6542         153.7272           0.8779
     2   15    0.0050    0.0700   1791.9197         10301.6542         116.8151           0.7257
     2   16    0.0050    0.0750   1771.9804         10301.6542          37.7380           0.0494
     2   17    0.0050    0.0800   1689.1084           703.0000          36.4199           0.0000
     2   18    0.0050    0.0850   1598.0234           703.0000          35.3725           0.0000
     2   19    0.0050    0.0900   1502.7548           703.0000          34.2769           0.0000
     2   20    0.0050    0.0950   1412.1983           703.0000          33.2355           0.0000
     2   21    0.0050    0.1000   1340.1378           703.0000          32.4068           0.0000
     3    1    0.0100    0.0000   1800.0109           720.0000         188.4766           1.0000
     3    2    0.0100    0.0050   1800.0107           720.0000         188.4766           1.0000
     3    3    0.0100    0.0100   1800.0102           720.0000         188.4766           1.0000
     3    4    0.0100    0.0150   1800.0092           720.0000         188.4765           1.0000
     3    5    0.0100    0.0200   1800.0079           720.0000         188.4765           1.0000
     3    6    0.0100    0.0250   1800.0064         10301.6542         188.4720           1.0000
     3    7    0.0100    0.0300   1800.0021         10301.6542         188.4282           0.9998
     3    8    0.0100    0.0350   1799.9892         10301.6542         188.2955           0.9994
     3    9    0.0100    0.0400   1799.9553         10301.6542         187.9470           0.9983
     3   10    0.0100    0.0450   1799.8727         10301.6542         187.1002           0.9955
     3   11    0.0100    0.0500   1799.6820         10301.6542         185.1542           0.9890
