 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                       84.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          420000
 Maximum Temperature :                             1800.0067 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              876.2552 K - Change from last time step:       0.0007 K
 Average(algebraic, non-weigthed) Temperature :    1709.7462 K - Change from last time step:      -0.0000 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0067         10301.6542         188.4756           1.0000
     1    2    0.0000    0.0050   1800.0067         10301.6542         188.4750           1.0000
     1    3    0.0000    0.0100   1800.0063         10301.6542         188.4708           1.0000
     1    4    0.0000    0.0150   1800.0049         10301.6542         188.4567           0.9999
     1    5    0.0000    0.0200   1800.0009         10301.6542         188.4156           0.9998
     1    6    0.0000    0.0250   1799.9905         10301.6542         188.3088           0.9994
     1    7    0.0000    0.0300   1799.9657         10301.6542         188.0536           0.9986
     1    8    0.0000    0.0350   1799.9098         10301.6542         187.4803           0.9967
     1    9    0.0000    0.0400   1799.7903         10301.6542         186.2573           0.9927
     1   10    0.0000    0.0450   1799.5449         10301.6542         183.7626           0.9843
     1   11    0.0000    0.0500   1799.0566         10301.6542         178.8627           0.9678
     1   12    0.0000    0.0550   1798.1010         10301.6542         169.5146           0.9354
     1   13    0.0000    0.0600   1796.2103         10301.6542         151.9686           0.8712
     1   14    0.0000    0.0650   1792.1786         10301.6542         118.7533           0.7345
     1   15    0.0000    0.0700   1778.3807         10301.6542          48.0845           0.2665
     1   16    0.0000    0.0750   1726.5513           703.0000          36.8505           0.0000
     1   17    0.0000    0.0800   1663.5249           703.0000          36.1257           0.0000
     1   18    0.0000    0.0850   1597.3186           703.0000          35.3644           0.0000
     1   19    0.0000    0.0900   1529.9352           703.0000          34.5895           0.0000
     1   20    0.0000    0.0950   1463.3969           703.0000          33.8243           0.0000
     1   21    0.0000    0.1000   1399.2455           703.0000          33.0865           0.0000
     2    1    0.0050    0.0000   1800.0067         10301.6542         188.4756           1.0000
     2    2    0.0050    0.0050   1800.0067         10301.6542         188.4750           1.0000
     2    3    0.0050    0.0100   1800.0063         10301.6542         188.4708           1.0000
     2    4    0.0050    0.0150   1800.0049         10301.6542         188.4567           0.9999
     2    5    0.0050    0.0200   1800.0009         10301.6542         188.4156           0.9998
     2    6    0.0050    0.0250   1799.9905         10301.6542         188.3088           0.9994
     2    7    0.0050    0.0300   1799.9657         10301.6542         188.0536           0.9986
     2    8    0.0050    0.0350   1799.9098         10301.6542         187.4803           0.9967
     2    9    0.0050    0.0400   1799.7903         10301.6542         186.2573           0.9927
     2   10    0.0050    0.0450   1799.5448         10301.6542         183.7626           0.9843
     2   11    0.0050    0.0500   1799.0566         10301.6542         178.8626           0.9678
     2   12    0.0050    0.0550   1798.1010         10301.6542         169.5145           0.9354
