 ====================================================================================
               Steady state solution for a 2D thermal profile
                  in cross section of a slab or billet in
                             Continuous Casting
 ====================================================================================

   Heat Transfer is calculated considering only heat conduction
  and convection in liquid metal is taken into consideration by
  artificially increasing thermal conductivity

  Heat exchanged due to solidification is modelled by
  equivalent heat capacity method.

  Boundary Conditions are:
  1) In the mold, a specified heat flow as a function of time
  2) In secondary cooling, a specified heat transfer coefficient
     and also radiactive heat transfer.

  Velocity of strand is constant and equal to v sub z

 ====================================================================================
 Author: Dickson Alves de Souza

 Based on lectures by professor Roberto Parreiras Tavares

 and book Numerical Heat Transfer and Fluid Flow
 by Suhas V. Patankar (1980)

 Federal University of Minas Gerais (UFMG)
 December 03rd, 2017
 ====================================================================================
                              Geometry:

 Lenght in X direction (meters):                   1.0000
 Lenght in Y direction (meters):                   0.2000
 Nodes in X direction:                                101
 Nodes in Y direction:                                 21

 Mould Length (meters):                            0.8000
 Time at mould:      48.0000  - Cummulative time:      48.0000 seconds

 Secondary Cooling - Zone 1 - Length (meters)      0.2100
 Time at mould:      12.6000 seconds - Cummulative time:      60.6000 seconds

 Secondary Cooling - Zone 2 - Length (meters)      1.8500
 Time at mould:     111.0000 seconds - Cummulative time:     171.6000 seconds

 Secondary Cooling - Zone 3 - Length (meters)     13.2600
 Time at mould:     795.6000 seconds - Cummulative time:     967.2000 seconds

 Casting speed:       0.0167
 ====================================================================================
                              Boundary Conditions:

 Secondary Cooling - Zone 1 - Specific Water Flow Rate (liter/sq-m.s)      5.5600
 Secondary Cooling - Zone 2 - Specific Water Flow Rate (liter/sq-m.s)      0.8300
 Secondary Cooling - Zone 3 - Heat Transfer Coefficient (W/sq-m.s)     15.0000
 ====================================================================================



 ====================================================================================
                              Solver:
 SOLUTION of LINEAR SYSTEM: Gauss-Seidel method
 Tolerance:       0.1000

 A linear relationship was used to calculate liquid fraction.
 ====================================================================================



 ===========================================================================================================
                    Calculation Results
 Current time:                                      100.0000 seconds
 Time Step:                                           0.0002 seconds
 Iterations:                                          500000
 Maximum Temperature :                             1800.0054 K - Change from last time step:      -0.0000 K
 Minimum Temperature :                              923.4167 K - Change from last time step:       0.0005 K
 Average(algebraic, non-weigthed) Temperature :    1707.2569 K - Change from last time step:      -0.0001 K
 Liquidus Temperature:                             1800.0068 K
 Solidus Temperature:                              1770.5235 K
 ===========================================================================================================
     I    J      X(m)      Y(m)        T(K)   Cp_Equiv(J/kg.K)      K(W/sq-m.K)  Liquid_Fraction
 ===========================================================================================================
     1    1    0.0000    0.0000   1800.0054         10301.6542         188.4618           1.0000
     1    2    0.0000    0.0050   1800.0050         10301.6542         188.4577           0.9999
     1    3    0.0000    0.0100   1800.0027         10301.6542         188.4338           0.9999
     1    4    0.0000    0.0150   1799.9966         10301.6542         188.3717           0.9997
     1    5    0.0000    0.0200   1799.9827         10301.6542         188.2287           0.9992
     1    6    0.0000    0.0250   1799.9525         10301.6542         187.9182           0.9982
     1    7    0.0000    0.0300   1799.8897         10301.6542         187.2744           0.9960
     1    8    0.0000    0.0350   1799.7646         10301.6542         185.9959           0.9918
     1    9    0.0000    0.0400   1799.5246         10301.6542         183.5573           0.9836
     1   10    0.0000    0.0450   1799.0786         10301.6542         179.0812           0.9685
     1   11    0.0000    0.0500   1798.2707         10301.6542         171.1508           0.9411
     1   12    0.0000    0.0550   1796.8205         10301.6542         157.4942           0.8919
     1   13    0.0000    0.0600   1794.1304         10301.6542         134.1204           0.8007
     1   14    0.0000    0.0650   1787.9877         10301.6542          90.2675           0.5923
     1   15    0.0000    0.0700   1758.2518           703.0000          37.2151           0.0000
     1   16    0.0000    0.0750   1709.9016           703.0000          36.6591           0.0000
     1   17    0.0000    0.0800   1655.0706           703.0000          36.0285           0.0000
     1   18    0.0000    0.0850   1596.0719           703.0000          35.3500           0.0000
     1   19    0.0000    0.0900   1534.7627           703.0000          34.6450           0.0000
     1   20    0.0000    0.0950   1472.2296           703.0000          33.9258           0.0000
     1   21    0.0000    0.1000   1409.0450           703.0000          33.1992           0.0000
     2    1    0.0050    0.0000   1800.0054         10301.6542         188.4618           1.0000
     2    2    0.0050    0.0050   1800.0050         10301.6542         188.4577           0.9999
     2    3    0.0050    0.0100   1800.0027         10301.6542         188.4338           0.9999
     2    4    0.0050    0.0150   1799.9966         10301.6542         188.3717           0.9997
     2    5    0.0050    0.0200   1799.9827         10301.6542         188.2287           0.9992
     2    6    0.0050    0.0250   1799.9525         10301.6542         187.9182           0.9982
     2    7    0.0050    0.0300   1799.8897         10301.6542         187.2744           0.9960
     2    8    0.0050    0.0350   1799.7646         10301.6542         185.9959           0.9918
     2    9    0.0050    0.0400   1799.5246         10301.6542         183.5573           0.9836
     2   10    0.0050    0.0450   1799.0786         10301.6542         179.0811           0.9685
     2   11    0.0050    0.0500   1798.2706         10301.6542         171.1507           0.9411
     2   12    0.0050    0.0550   1796.8205         10301.6542         157.4941           0.8919
